d3mIndex,administrative_area_level_1,administrative_area_level_2,parseDate,uniloc.x,precipitation,year,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,ISOALPHA,COUNTRYNM,un_wpp_pop_est_li,un_wpp_pop_dens_li,uniloc.y,Maize(white)-Retail_li,Wheat-Wholesale_li
0,Addis Ababa,,2011-01,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3260781.2,6005.8434,Ethiopia-Addis Ababa-Addis Ababa,,709.5111
1,Addis Ababa,,2011-02,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3266203.55,6015.83051666667,Ethiopia-Addis Ababa-Addis Ababa,,719.3432
2,Addis Ababa,,2011-03,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3271625.9,6025.81763333333,Ethiopia-Addis Ababa-Addis Ababa,,729.1753
3,Addis Ababa,,2011-04,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3277048.25,6035.80475,Ethiopia-Addis Ababa-Addis Ababa,,739.0074
4,Addis Ababa,,2011-05,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3282470.6,6045.79186666667,Ethiopia-Addis Ababa-Addis Ababa,,748.8395
5,Addis Ababa,,2011-06,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3287892.95,6055.77898333333,Ethiopia-Addis Ababa-Addis Ababa,,758.6716
6,Addis Ababa,,2011-07,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3293315.3,6065.7661,Ethiopia-Addis Ababa-Addis Ababa,,768.5037
7,Addis Ababa,,2011-08,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3298737.65,6075.75321666667,Ethiopia-Addis Ababa-Addis Ababa,,778.3358
8,Addis Ababa,,2011-09,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3304160.0,6085.74033333333,Ethiopia-Addis Ababa-Addis Ababa,,788.1679
9,Addis Ababa,,2011-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3309582.35,6095.72745,Ethiopia-Addis Ababa-Addis Ababa,,798.0
10,Addis Ababa,,2011-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3315004.7,6105.71456666667,Ethiopia-Addis Ababa-Addis Ababa,,767.0
11,Addis Ababa,,2011-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2011.0,542.9348,0.0,542.9348,ETH,Ethiopia,3320427.05,6115.70168333333,Ethiopia-Addis Ababa-Addis Ababa,,658.4
