"administrative_area_level_1","administrative_area_level_2","parseDate","uniloc.x","precipitation","year","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","un_wpp_pop_est_li","un_wpp_pop_dens_li","uniloc.y","Maize(white)-Retail_li","Wheat-Wholesale_li"
"Addis Ababa",NA,"2011-01","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3260781.2","6005.8434","Ethiopia-Addis Ababa-Addis Ababa",NA,"709.5111"
"Addis Ababa",NA,"2011-02","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3266203.55","6015.83051666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"719.3432"
"Addis Ababa",NA,"2011-03","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3271625.9","6025.81763333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"729.1753"
"Addis Ababa",NA,"2011-04","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3277048.25","6035.80475","Ethiopia-Addis Ababa-Addis Ababa",NA,"739.0074"
"Addis Ababa",NA,"2011-05","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3282470.6","6045.79186666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"748.8395"
"Addis Ababa",NA,"2011-06","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3287892.95","6055.77898333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"758.6716"
"Addis Ababa",NA,"2011-07","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3293315.3","6065.7661","Ethiopia-Addis Ababa-Addis Ababa",NA,"768.5037"
"Addis Ababa",NA,"2011-08","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3298737.65","6075.75321666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"778.3358"
"Addis Ababa",NA,"2011-09","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3304160","6085.74033333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"788.1679"
"Addis Ababa",NA,"2011-10","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3309582.35","6095.72745","Ethiopia-Addis Ababa-Addis Ababa",NA,"798"
"Addis Ababa",NA,"2011-11","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3315004.7","6105.71456666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"767"
"Addis Ababa",NA,"2011-12","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2011","542.9348","0","542.9348","ETH","Ethiopia","3320427.05","6115.70168333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"658.4"
"Addis Ababa",NA,"2012-01","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3325849.4","6125.6888","Ethiopia-Addis Ababa-Addis Ababa",NA,"708"
"Addis Ababa",NA,"2012-02","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3331271.75","6135.67591666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"710.444444444444"
"Addis Ababa",NA,"2012-03","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3336694.1","6145.66303333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"712.888888888889"
"Addis Ababa",NA,"2012-04","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3342116.45","6155.65015","Ethiopia-Addis Ababa-Addis Ababa",NA,"715.333333333333"
"Addis Ababa",NA,"2012-05","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3347538.8","6165.63726666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"717.777777777778"
"Addis Ababa",NA,"2012-06","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3352961.15","6175.62438333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"720.222222222222"
"Addis Ababa",NA,"2012-07","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3358383.5","6185.6115","Ethiopia-Addis Ababa-Addis Ababa",NA,"722.666666666667"
"Addis Ababa",NA,"2012-08","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3363805.85","6195.59861666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"725.111111111111"
"Addis Ababa",NA,"2012-09","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3369228.2","6205.58573333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"727.555555555556"
"Addis Ababa",NA,"2012-10","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3374650.55","6215.57285","Ethiopia-Addis Ababa-Addis Ababa",NA,"730"
"Addis Ababa",NA,"2012-11","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3380072.9","6225.55996666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"666"
"Addis Ababa",NA,"2012-12","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2012","542.9348","0","542.9348","ETH","Ethiopia","3385495.25","6235.54708333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"667"
"Addis Ababa",NA,"2013-01","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2013","542.9348","0","542.9348","ETH","Ethiopia","3390917.6","6245.5342","Ethiopia-Addis Ababa-Addis Ababa",NA,"732.6667"
"Addis Ababa",NA,"2013-02","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2013","542.9348","0","542.9348","ETH","Ethiopia","3396339.95","6255.52131666667","Ethiopia-Addis Ababa-Addis Ababa",NA,"749.259288888889"
"Addis Ababa",NA,"2013-03","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2013","542.9348","0","542.9348","ETH","Ethiopia","3401762.3","6265.50843333333","Ethiopia-Addis Ababa-Addis Ababa",NA,"765.851877777778"
"Addis Ababa",NA,"2013-04","Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION",NA,"2013","542.9348","0","542.9348","ETH","Ethiopia","3407184.65","6275.49555","Ethiopia-Addis Ababa-Addis Ababa",NA,"782.444466666667"
