d3mIndex,month_id,country_id,country_name,year,month,acled_count_pr,ged_best_ns,ged_best_sb,ln_ged_best_sb,icgcw_deteriorated,icgcw_improved,vdem_e_v2x_polyarchy_5c,vdem_e_wb_pop,vdem_e_wbgi_pve,vdem_e_total_resources_income_pc,time_since_ged_dummy_sb,reign_anticipation,reign_elected,reign_precip,reign_prev_conflict,reign_tenure_months,fvp_prop_excluded,fvp_lnpop200,fvp_lngdp200,fvp_lngdppercapita200,in_africa,yearmonth
0,121,67,Algeria,1990,1,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1118,0.0,1.0,0.109125933885098,0.0,132.0,0.28,10.16248,12.48847,9.233748,1,1990-1
1,122,67,Algeria,1990,2,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1119,0.0,1.0,-0.0065415022178816,0.0,133.0,0.28,10.16248,12.48847,9.233748,1,1990-2
2,123,67,Algeria,1990,3,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1120,0.0,1.0,-0.07534705452430701,0.0,134.0,0.28,10.16248,12.48847,9.233748,1,1990-3
3,124,67,Algeria,1990,4,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1121,0.0,1.0,0.30197567927746805,0.0,135.0,0.28,10.16248,12.48847,9.233748,1,1990-4
4,125,67,Algeria,1990,5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1122,0.0,1.0,0.51870829307563,0.0,136.0,0.28,10.16248,12.48847,9.233748,1,1990-5
5,126,67,Algeria,1990,6,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1123,0.0,1.0,0.37915128216025606,0.0,137.0,0.28,10.16248,12.48847,9.233748,1,1990-6
6,127,67,Algeria,1990,7,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1124,0.0,1.0,0.3514213341404311,0.0,138.0,0.28,10.16248,12.48847,9.233748,1,1990-7
7,128,67,Algeria,1990,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1125,0.0,1.0,0.28676325135524894,0.0,139.0,0.28,10.16248,12.48847,9.233748,1,1990-8
8,129,67,Algeria,1990,9,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1126,0.0,1.0,0.254083200094362,0.0,140.0,0.28,10.16248,12.48847,9.233748,1,1990-9
9,130,67,Algeria,1990,10,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1127,0.0,1.0,0.19695474725253698,0.0,141.0,0.28,10.16248,12.48847,9.233748,1,1990-10
10,131,67,Algeria,1990,11,0.0,0.0,0.0,0.0,1.0,0.0,0.25,25758869.0,-1.78,629.37,1128,0.0,1.0,0.263744042856789,0.0,142.0,0.28,10.16248,12.48847,9.233748,1,1990-11
11,132,67,Algeria,1990,12,0.0,0.0,1.0,0.693147180559945,1.0,0.0,0.25,25758869.0,-1.78,629.37,1129,0.0,1.0,0.47931537263491997,0.0,143.0,0.28,10.16248,12.48847,9.233748,1,1990-12
12,133,67,Algeria,1991,1,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,0,0.0,1.0,0.0800605161641497,0.0,144.0,0.28,10.18695,12.4764,9.197204,1,1991-1
13,134,67,Algeria,1991,2,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,1,0.0,1.0,0.2816131428345,0.0,145.0,0.28,10.18695,12.4764,9.197204,1,1991-2
14,135,67,Algeria,1991,3,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,2,0.0,1.0,0.550115682202725,0.0,146.0,0.28,10.18695,12.4764,9.197204,1,1991-3
15,136,67,Algeria,1991,4,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,3,0.0,1.0,0.166824592907743,0.0,147.0,0.28,10.18695,12.4764,9.197204,1,1991-4
16,137,67,Algeria,1991,5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,4,0.0,1.0,0.51836771867697,0.0,148.0,0.28,10.18695,12.4764,9.197204,1,1991-5
17,138,67,Algeria,1991,6,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,5,0.0,1.0,0.576433591222163,0.0,149.0,0.28,10.18695,12.4764,9.197204,1,1991-6
18,139,67,Algeria,1991,7,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,6,0.0,1.0,0.489040424320613,0.0,150.0,0.28,10.18695,12.4764,9.197204,1,1991-7
19,140,67,Algeria,1991,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,7,0.0,1.0,0.503362322738219,0.0,151.0,0.28,10.18695,12.4764,9.197204,1,1991-8
20,141,67,Algeria,1991,9,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,8,0.0,1.0,0.5446982225553889,0.0,152.0,0.28,10.18695,12.4764,9.197204,1,1991-9
21,142,67,Algeria,1991,10,0.0,0.0,0.0,0.0,1.0,0.0,0.25,26400479.0,-1.78,536.44,9,0.0,1.0,0.761407132315338,0.0,153.0,0.28,10.18695,12.4764,9.197204,1,1991-10
22,143,67,Algeria,1991,11,0.0,0.0,3.0,1.38629436111989,1.0,0.0,0.25,26400479.0,-1.78,536.44,10,0.0,1.0,0.6190466474944929,0.0,154.0,0.28,10.18695,12.4764,9.197204,1,1991-11
23,144,67,Algeria,1991,12,0.0,0.0,31.0,3.4657359027997297,1.0,0.0,0.25,26400479.0,-1.78,536.44,0,0.0,1.0,0.358176806535719,0.0,155.0,0.28,10.18695,12.4764,9.197204,1,1991-12
24,145,67,Algeria,1992,1,0.0,0.0,1.0,0.693147180559945,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.551285447386458,1.0,1.0,0.28,10.21027,12.49424,9.191714,1,1992-1
25,146,67,Algeria,1992,2,0.0,0.0,17.0,2.89037175789616,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.529408083576314,1.0,2.0,0.28,10.21027,12.49424,9.191714,1,1992-2
26,147,67,Algeria,1992,3,0.0,0.0,39.0,3.68887945411394,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.44282303352807795,1.0,3.0,0.28,10.21027,12.49424,9.191714,1,1992-3
27,148,67,Algeria,1992,4,0.0,0.0,6.0,1.9459101490553101,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.514121051638225,1.0,4.0,0.28,10.21027,12.49424,9.191714,1,1992-4
28,149,67,Algeria,1992,5,0.0,0.0,20.0,3.0445224377234195,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.165107845922584,1.0,5.0,0.28,10.21027,12.49424,9.191714,1,1992-5
29,150,67,Algeria,1992,6,0.0,0.0,14.0,2.7080502011022096,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.0777263787519799,1.0,6.0,0.28,10.21027,12.49424,9.191714,1,1992-6
30,151,67,Algeria,1992,7,0.0,0.0,22.0,3.13549421592915,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.245347318071543,1.0,1.0,0.28,10.21027,12.49424,9.191714,1,1992-7
31,152,67,Algeria,1992,8,0.0,0.0,22.0,3.13549421592915,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.14736203827083802,1.0,2.0,0.28,10.21027,12.49424,9.191714,1,1992-8
32,153,67,Algeria,1992,9,0.0,0.0,26.0,3.29583686600433,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.0904055533015352,1.0,3.0,0.28,10.21027,12.49424,9.191714,1,1992-9
33,154,67,Algeria,1992,10,0.0,0.0,33.0,3.5263605246161602,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,-0.166556498484811,1.0,4.0,0.28,10.21027,12.49424,9.191714,1,1992-10
34,155,67,Algeria,1992,11,0.0,0.0,33.0,3.5263605246161602,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,-0.0262635158958715,1.0,5.0,0.28,10.21027,12.49424,9.191714,1,1992-11
