d3mIndex,type,repeat,fold
0,TRAIN,0,0
1,TRAIN,0,0
2,TRAIN,0,0
3,TRAIN,0,0
4,TRAIN,0,0
5,TRAIN,0,0
8,TRAIN,0,0
9,TRAIN,0,0
11,TRAIN,0,0
12,TRAIN,0,0
15,TRAIN,0,0
16,TRAIN,0,0
18,TRAIN,0,0
19,TRAIN,0,0
20,TRAIN,0,0
21,TRAIN,0,0
23,TRAIN,0,0
24,TRAIN,0,0
26,TRAIN,0,0
27,TRAIN,0,0
28,TRAIN,0,0
30,TRAIN,0,0
34,TRAIN,0,0
35,TRAIN,0,0
36,TRAIN,0,0
37,TRAIN,0,0
38,TRAIN,0,0
39,TRAIN,0,0
44,TRAIN,0,0
45,TRAIN,0,0
46,TRAIN,0,0
48,TRAIN,0,0
50,TRAIN,0,0
51,TRAIN,0,0
52,TRAIN,0,0
53,TRAIN,0,0
54,TRAIN,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TRAIN,0,0
62,TRAIN,0,0
63,TRAIN,0,0
64,TRAIN,0,0
67,TRAIN,0,0
68,TRAIN,0,0
69,TRAIN,0,0
74,TRAIN,0,0
75,TRAIN,0,0
77,TRAIN,0,0
78,TRAIN,0,0
80,TRAIN,0,0
82,TRAIN,0,0
83,TRAIN,0,0
84,TRAIN,0,0
86,TRAIN,0,0
87,TRAIN,0,0
90,TRAIN,0,0
92,TRAIN,0,0
95,TRAIN,0,0
98,TRAIN,0,0
99,TRAIN,0,0
101,TRAIN,0,0
102,TRAIN,0,0
104,TRAIN,0,0
106,TRAIN,0,0
107,TRAIN,0,0
110,TRAIN,0,0
111,TRAIN,0,0
112,TRAIN,0,0
113,TRAIN,0,0
114,TRAIN,0,0
115,TRAIN,0,0
117,TRAIN,0,0
118,TRAIN,0,0
119,TRAIN,0,0
120,TRAIN,0,0
122,TRAIN,0,0
123,TRAIN,0,0
124,TRAIN,0,0
125,TRAIN,0,0
127,TRAIN,0,0
128,TRAIN,0,0
129,TRAIN,0,0
130,TRAIN,0,0
131,TRAIN,0,0
132,TRAIN,0,0
134,TRAIN,0,0
135,TRAIN,0,0
137,TRAIN,0,0
138,TRAIN,0,0
139,TRAIN,0,0
140,TRAIN,0,0
141,TRAIN,0,0
143,TRAIN,0,0
144,TRAIN,0,0
145,TRAIN,0,0
147,TRAIN,0,0
148,TRAIN,0,0
149,TRAIN,0,0
150,TRAIN,0,0
152,TRAIN,0,0
155,TRAIN,0,0
157,TRAIN,0,0
159,TRAIN,0,0
163,TRAIN,0,0
165,TRAIN,0,0
167,TRAIN,0,0
168,TRAIN,0,0
169,TRAIN,0,0
170,TRAIN,0,0
172,TRAIN,0,0
174,TRAIN,0,0
175,TRAIN,0,0
177,TRAIN,0,0
178,TRAIN,0,0
184,TRAIN,0,0
185,TRAIN,0,0
187,TRAIN,0,0
190,TRAIN,0,0
191,TRAIN,0,0
192,TRAIN,0,0
194,TRAIN,0,0
195,TRAIN,0,0
196,TRAIN,0,0
197,TRAIN,0,0
199,TRAIN,0,0
200,TRAIN,0,0
201,TRAIN,0,0
202,TRAIN,0,0
203,TRAIN,0,0
204,TRAIN,0,0
205,TRAIN,0,0
207,TRAIN,0,0
209,TRAIN,0,0
210,TRAIN,0,0
211,TRAIN,0,0
212,TRAIN,0,0
214,TRAIN,0,0
217,TRAIN,0,0
220,TRAIN,0,0
221,TRAIN,0,0
223,TRAIN,0,0
224,TRAIN,0,0
226,TRAIN,0,0
227,TRAIN,0,0
228,TRAIN,0,0
229,TRAIN,0,0
230,TRAIN,0,0
231,TRAIN,0,0
235,TRAIN,0,0
241,TRAIN,0,0
242,TRAIN,0,0
244,TRAIN,0,0
246,TRAIN,0,0
249,TRAIN,0,0
250,TRAIN,0,0
251,TRAIN,0,0
252,TRAIN,0,0
254,TRAIN,0,0
256,TRAIN,0,0
257,TRAIN,0,0
258,TRAIN,0,0
259,TRAIN,0,0
260,TRAIN,0,0
261,TRAIN,0,0
262,TRAIN,0,0
267,TRAIN,0,0
268,TRAIN,0,0
269,TRAIN,0,0
272,TRAIN,0,0
273,TRAIN,0,0
274,TRAIN,0,0
276,TRAIN,0,0
278,TRAIN,0,0
280,TRAIN,0,0
281,TRAIN,0,0
283,TRAIN,0,0
285,TRAIN,0,0
286,TRAIN,0,0
288,TRAIN,0,0
290,TRAIN,0,0
293,TRAIN,0,0
295,TRAIN,0,0
296,TRAIN,0,0
297,TRAIN,0,0
298,TRAIN,0,0
300,TRAIN,0,0
301,TRAIN,0,0
303,TRAIN,0,0
305,TRAIN,0,0
306,TRAIN,0,0
307,TRAIN,0,0
309,TRAIN,0,0
310,TRAIN,0,0
311,TRAIN,0,0
312,TRAIN,0,0
316,TRAIN,0,0
318,TRAIN,0,0
319,TRAIN,0,0
320,TRAIN,0,0
321,TRAIN,0,0
322,TRAIN,0,0
324,TRAIN,0,0
325,TRAIN,0,0
326,TRAIN,0,0
329,TRAIN,0,0
335,TRAIN,0,0
338,TRAIN,0,0
341,TRAIN,0,0
343,TRAIN,0,0
344,TRAIN,0,0
346,TRAIN,0,0
347,TRAIN,0,0
348,TRAIN,0,0
349,TRAIN,0,0
350,TRAIN,0,0
351,TRAIN,0,0
352,TRAIN,0,0
353,TRAIN,0,0
356,TRAIN,0,0
357,TRAIN,0,0
358,TRAIN,0,0
359,TRAIN,0,0
363,TRAIN,0,0
364,TRAIN,0,0
366,TRAIN,0,0
367,TRAIN,0,0
369,TRAIN,0,0
370,TRAIN,0,0
371,TRAIN,0,0
372,TRAIN,0,0
376,TRAIN,0,0
381,TRAIN,0,0
383,TRAIN,0,0
384,TRAIN,0,0
385,TRAIN,0,0
387,TRAIN,0,0
388,TRAIN,0,0
391,TRAIN,0,0
393,TRAIN,0,0
401,TRAIN,0,0
402,TRAIN,0,0
404,TRAIN,0,0
405,TRAIN,0,0
407,TRAIN,0,0
408,TRAIN,0,0
409,TRAIN,0,0
410,TRAIN,0,0
412,TRAIN,0,0
415,TRAIN,0,0
416,TRAIN,0,0
420,TRAIN,0,0
422,TRAIN,0,0
423,TRAIN,0,0
424,TRAIN,0,0
425,TRAIN,0,0
427,TRAIN,0,0
431,TRAIN,0,0
433,TRAIN,0,0
434,TRAIN,0,0
435,TRAIN,0,0
439,TRAIN,0,0
441,TRAIN,0,0
442,TRAIN,0,0
443,TRAIN,0,0
444,TRAIN,0,0
447,TRAIN,0,0
448,TRAIN,0,0
449,TRAIN,0,0
451,TRAIN,0,0
452,TRAIN,0,0
456,TRAIN,0,0
457,TRAIN,0,0
458,TRAIN,0,0
459,TRAIN,0,0
463,TRAIN,0,0
464,TRAIN,0,0
465,TRAIN,0,0
467,TRAIN,0,0
471,TRAIN,0,0
473,TRAIN,0,0
477,TRAIN,0,0
481,TRAIN,0,0
482,TRAIN,0,0
483,TRAIN,0,0
485,TRAIN,0,0
486,TRAIN,0,0
487,TRAIN,0,0
488,TRAIN,0,0
490,TRAIN,0,0
492,TRAIN,0,0
496,TRAIN,0,0
498,TRAIN,0,0
499,TRAIN,0,0
502,TRAIN,0,0
503,TRAIN,0,0
504,TRAIN,0,0
505,TRAIN,0,0
506,TRAIN,0,0
510,TRAIN,0,0
511,TRAIN,0,0
512,TRAIN,0,0
513,TRAIN,0,0
514,TRAIN,0,0
515,TRAIN,0,0
517,TRAIN,0,0
520,TRAIN,0,0
522,TRAIN,0,0
523,TRAIN,0,0
524,TRAIN,0,0
525,TRAIN,0,0
529,TRAIN,0,0
530,TRAIN,0,0
531,TRAIN,0,0
534,TRAIN,0,0
