d3mIndex,type,fold,repeat
6,TEST,0,0
15,TEST,0,0
23,TEST,0,0
27,TEST,0,0
32,TEST,0,0
37,TEST,0,0
49,TEST,0,0
52,TEST,0,0
53,TEST,0,0
54,TEST,0,0
58,TEST,0,0
63,TEST,0,0
64,TEST,0,0
69,TEST,0,0
71,TEST,0,0
73,TEST,0,0
84,TEST,0,0
85,TEST,0,0
92,TEST,0,0
100,TEST,0,0
103,TEST,0,0
104,TEST,0,0
105,TEST,0,0
109,TEST,0,0
116,TEST,0,0
128,TEST,0,0
129,TEST,0,0
130,TEST,0,0
137,TEST,0,0
139,TEST,0,0
141,TEST,0,0
142,TEST,0,0
156,TEST,0,0
160,TEST,0,0
162,TEST,0,0
163,TEST,0,0
171,TEST,0,0
175,TEST,0,0
177,TEST,0,0
178,TEST,0,0
185,TEST,0,0
186,TEST,0,0
189,TEST,0,0
198,TEST,0,0
202,TEST,0,0
207,TEST,0,0
214,TEST,0,0
217,TEST,0,0
219,TEST,0,0
222,TEST,0,0
225,TEST,0,0
227,TEST,0,0
240,TEST,0,0
255,TEST,0,0
267,TEST,0,0
273,TEST,0,0
285,TEST,0,0
288,TEST,0,0
289,TEST,0,0
292,TEST,0,0
297,TEST,0,0
298,TEST,0,0
324,TEST,0,0
327,TEST,0,0
332,TEST,0,0
336,TEST,0,0
339,TEST,0,0
340,TEST,0,0
349,TEST,0,0
368,TEST,0,0
369,TEST,0,0
376,TEST,0,0
377,TEST,0,0
385,TEST,0,0
391,TEST,0,0
398,TEST,0,0
402,TEST,0,0
406,TEST,0,0
411,TEST,0,0
417,TEST,0,0
418,TEST,0,0
420,TEST,0,0
423,TEST,0,0
425,TEST,0,0
429,TEST,0,0
430,TEST,0,0
435,TEST,0,0
451,TEST,0,0
452,TEST,0,0
465,TEST,0,0
467,TEST,0,0
472,TEST,0,0
479,TEST,0,0
483,TEST,0,0
485,TEST,0,0
493,TEST,0,0
494,TEST,0,0
496,TEST,0,0
505,TEST,0,0
510,TEST,0,0
520,TEST,0,0
523,TEST,0,0
525,TEST,0,0
530,TEST,0,0
531,TEST,0,0
538,TEST,0,0
544,TEST,0,0
548,TEST,0,0
549,TEST,0,0
552,TEST,0,0
555,TEST,0,0
561,TEST,0,0
563,TEST,0,0
567,TEST,0,0
569,TEST,0,0
572,TEST,0,0
575,TEST,0,0
577,TEST,0,0
585,TEST,0,0
594,TEST,0,0
598,TEST,0,0
605,TEST,0,0
611,TEST,0,0
612,TEST,0,0
617,TEST,0,0
625,TEST,0,0
627,TEST,0,0
632,TEST,0,0
633,TEST,0,0
642,TEST,0,0
644,TEST,0,0
649,TEST,0,0
661,TEST,0,0
663,TEST,0,0
671,TEST,0,0
672,TEST,0,0
675,TEST,0,0
683,TEST,0,0
689,TEST,0,0
690,TEST,0,0
692,TEST,0,0
693,TEST,0,0
695,TEST,0,0
696,TEST,0,0
704,TEST,0,0
708,TEST,0,0
728,TEST,0,0
731,TEST,0,0
742,TEST,0,0
743,TEST,0,0
744,TEST,0,0
755,TEST,0,0
761,TEST,0,0
774,TEST,0,0
775,TEST,0,0
781,TEST,0,0
782,TEST,0,0
784,TEST,0,0
790,TEST,0,0
791,TEST,0,0
793,TEST,0,0
797,TEST,0,0
800,TEST,0,0
803,TEST,0,0
807,TEST,0,0
809,TEST,0,0
811,TEST,0,0
817,TEST,0,0
820,TEST,0,0
824,TEST,0,0
827,TEST,0,0
828,TEST,0,0
830,TEST,0,0
837,TEST,0,0
841,TEST,0,0
844,TEST,0,0
849,TEST,0,0
858,TEST,0,0
864,TEST,0,0
870,TEST,0,0
871,TEST,0,0
872,TEST,0,0
875,TEST,0,0
876,TEST,0,0
883,TEST,0,0
894,TEST,0,0
900,TEST,0,0
901,TEST,0,0
911,TEST,0,0
940,TEST,0,0
943,TEST,0,0
945,TEST,0,0
946,TEST,0,0
952,TEST,0,0
955,TEST,0,0
960,TEST,0,0
961,TEST,0,0
962,TEST,0,0
968,TEST,0,0
982,TEST,0,0
988,TEST,0,0
989,TEST,0,0
997,TEST,0,0
998,TEST,0,0
999,TEST,0,0
1005,TEST,0,0
1008,TEST,0,0
1014,TEST,0,0
1015,TEST,0,0
1025,TEST,0,0
1027,TEST,0,0
1028,TEST,0,0
1033,TEST,0,0
1041,TEST,0,0
1047,TEST,0,0
1048,TEST,0,0
1061,TEST,0,0
1062,TEST,0,0
1066,TEST,0,0
1078,TEST,0,0
1080,TEST,0,0
1097,TEST,0,0
1105,TEST,0,0
1109,TEST,0,0
1110,TEST,0,0
1114,TEST,0,0
1116,TEST,0,0
1122,TEST,0,0
1134,TEST,0,0
1137,TEST,0,0
1138,TEST,0,0
1144,TEST,0,0
1146,TEST,0,0
1147,TEST,0,0
1168,TEST,0,0
1171,TEST,0,0
1178,TEST,0,0
1179,TEST,0,0
1181,TEST,0,0
1183,TEST,0,0
1186,TEST,0,0
1192,TEST,0,0
1207,TEST,0,0
1211,TEST,0,0
1214,TEST,0,0
1216,TEST,0,0
1217,TEST,0,0
1220,TEST,0,0
1227,TEST,0,0
1233,TEST,0,0
1234,TEST,0,0
1236,TEST,0,0
1244,TEST,0,0
1245,TEST,0,0
1247,TEST,0,0
1250,TEST,0,0
1256,TEST,0,0
1259,TEST,0,0
1261,TEST,0,0
1267,TEST,0,0
1270,TEST,0,0
1280,TEST,0,0
1296,TEST,0,0
1302,TEST,0,0
1315,TEST,0,0
1316,TEST,0,0
1317,TEST,0,0
1318,TEST,0,0
1325,TEST,0,0
1327,TEST,0,0
1338,TEST,0,0
1342,TEST,0,0
1349,TEST,0,0
1355,TEST,0,0
1360,TEST,0,0
1363,TEST,0,0
1379,TEST,0,0
1383,TEST,0,0
