d3mIndex,RegionName,ZoneName,WoredaName,dateTime,Malnutrition_total Cases
0,Addis Ababa,Addis Ketema,Addis Ketema,2017-01-31,8
1,Addis Ababa,Addis Ketema,Addis Ketema,2017-02-28,5
2,Addis Ababa,Addis Ketema,Addis Ketema,2017-03-31,11
3,Addis Ababa,Addis Ketema,Addis Ketema,2017-04-30,16
4,Addis Ababa,Addis Ketema,Addis Ketema,2017-05-31,15
5,Addis Ababa,Addis Ketema,Addis Ketema,2017-06-30,19
6,Addis Ababa,Addis Ketema,Addis Ketema,2017-07-31,27
7,Addis Ababa,Addis Ketema,Addis Ketema,2017-08-31,19
8,Addis Ababa,Addis Ketema,Addis Ketema,2017-09-30,12
9,Addis Ababa,Addis Ketema,Addis Ketema,2017-10-31,9
10,Addis Ababa,Addis Ketema,Addis Ketema,2017-11-30,10
11,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2017-12-31,3
12,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-01-31,1
13,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-02-28,0
14,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-03-31,1
15,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-04-30,0
16,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-05-31,0
17,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-06-30,1
18,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-07-31,0
19,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-08-31,1
20,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-09-30,0
21,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-10-31,0
22,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-11-30,3
23,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2018-12-31,3
24,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-01-31,2
25,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-02-28,2
26,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-03-31,1
27,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-04-30,2
28,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-05-31,2
29,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-06-30,0
30,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2017-12-31,0
31,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-01-31,1
32,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-02-28,0
33,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-03-31,0
34,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-04-30,1
35,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-05-31,0
36,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-06-30,0
37,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-07-31,0
38,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-08-31,1
39,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-09-30,0
40,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-10-31,0
41,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-11-30,0
42,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2018-12-31,1
43,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-01-31,2
44,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-02-28,0
45,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-03-31,1
46,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-04-30,0
47,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-05-31,0
48,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-06-30,1
49,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2017-12-31,1
50,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-01-31,0
51,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-02-28,0
52,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-03-31,0
53,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-04-30,0
54,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-05-31,0
55,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-06-30,0
56,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-07-31,0
57,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-08-31,0
58,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-09-30,0
59,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-10-31,1
60,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-11-30,0
61,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2018-12-31,0
62,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-01-31,1
63,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-02-28,2
64,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-03-31,0
65,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-04-30,1
66,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-05-31,0
67,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-06-30,0
68,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2017-12-31,4
69,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-01-31,0
70,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-02-28,4
71,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-03-31,3
72,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-04-30,3
73,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-05-31,0
74,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-06-30,1
75,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-07-31,7
76,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-08-31,0
77,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-09-30,0
78,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-10-31,0
79,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-11-30,1
80,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2018-12-31,1
81,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-01-31,0
82,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-02-28,0
83,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-03-31,1
84,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-04-30,3
85,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-05-31,1
86,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-06-30,3
87,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2017-12-31,0
88,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-01-31,0
89,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-02-28,0
90,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-03-31,3
91,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-04-30,0
92,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-05-31,0
93,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-06-30,2
94,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-07-31,2
95,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-08-31,1
96,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-09-30,1
97,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-10-31,0
98,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-11-30,0
99,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2018-12-31,2
100,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-01-31,0
101,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-02-28,0
102,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-03-31,0
103,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-04-30,0
