d3mIndex,RegionName,ZoneName,WoredaName,dateTime,Malnutrition_total Cases
24,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-01-31,2
25,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-02-28,2
26,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-03-31,1
27,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-04-30,2
28,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-05-31,2
29,Addis Ababa,Addis Ketema,Addis Ketema Woreda01,2019-06-30,0
43,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-01-31,2
44,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-02-28,0
45,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-03-31,1
46,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-04-30,0
47,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-05-31,0
48,Addis Ababa,Addis Ketema,Addis Ketema Woreda02,2019-06-30,1
62,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-01-31,1
63,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-02-28,2
64,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-03-31,0
65,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-04-30,1
66,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-05-31,0
67,Addis Ababa,Addis Ketema,Addis Ketema Woreda03,2019-06-30,0
81,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-01-31,0
82,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-02-28,0
83,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-03-31,1
84,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-04-30,3
85,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-05-31,1
86,Addis Ababa,Addis Ketema,Addis Ketema Woreda04,2019-06-30,3
100,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-01-31,0
101,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-02-28,0
102,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-03-31,0
103,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-04-30,0
104,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-05-31,1
105,Addis Ababa,Addis Ketema,Addis Ketema Woreda05,2019-06-30,0
119,Addis Ababa,Addis Ketema,Addis Ketema Woreda06,2019-01-31,0
120,Addis Ababa,Addis Ketema,Addis Ketema Woreda06,2019-02-28,0
121,Addis Ababa,Addis Ketema,Addis Ketema Woreda06,2019-03-31,0
122,Addis Ababa,Addis Ketema,Addis Ketema Woreda06,2019-04-30,0
123,Addis Ababa,Addis Ketema,Addis Ketema Woreda06,2019-05-31,2
124,Addis Ababa,Addis Ketema,Addis Ketema Woreda06,2019-06-30,3
138,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2019-01-31,4
139,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2019-02-28,0
140,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2019-03-31,0
141,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2019-04-30,0
142,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2019-05-31,0
143,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2019-06-30,0
157,Addis Ababa,Addis Ketema,Addis Ketema Woreda08,2019-01-31,1
158,Addis Ababa,Addis Ketema,Addis Ketema Woreda08,2019-02-28,1
159,Addis Ababa,Addis Ketema,Addis Ketema Woreda08,2019-03-31,0
160,Addis Ababa,Addis Ketema,Addis Ketema Woreda08,2019-04-30,1
161,Addis Ababa,Addis Ketema,Addis Ketema Woreda08,2019-05-31,0
162,Addis Ababa,Addis Ketema,Addis Ketema Woreda08,2019-06-30,0
176,Addis Ababa,Addis Ketema,Addis Ketema Woreda09,2019-01-31,2
177,Addis Ababa,Addis Ketema,Addis Ketema Woreda09,2019-02-28,5
178,Addis Ababa,Addis Ketema,Addis Ketema Woreda09,2019-03-31,3
179,Addis Ababa,Addis Ketema,Addis Ketema Woreda09,2019-04-30,0
180,Addis Ababa,Addis Ketema,Addis Ketema Woreda09,2019-05-31,0
181,Addis Ababa,Addis Ketema,Addis Ketema Woreda09,2019-06-30,0
195,Addis Ababa,Addis Ketema,Addis Ketema Woreda10,2019-01-31,0
196,Addis Ababa,Addis Ketema,Addis Ketema Woreda10,2019-02-28,0
197,Addis Ababa,Addis Ketema,Addis Ketema Woreda10,2019-03-31,0
198,Addis Ababa,Addis Ketema,Addis Ketema Woreda10,2019-04-30,0
199,Addis Ababa,Addis Ketema,Addis Ketema Woreda10,2019-05-31,0
200,Addis Ababa,Addis Ketema,Addis Ketema Woreda10,2019-06-30,0
225,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda01,2019-01-31,2
226,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda01,2019-02-28,0
227,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda01,2019-03-31,1
228,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda01,2019-04-30,0
229,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda01,2019-05-31,0
230,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda01,2019-06-30,0
244,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda02,2019-01-31,1
245,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda02,2019-02-28,0
246,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda02,2019-03-31,1
247,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda02,2019-04-30,0
