d3mIndex,type,fold,repeat
24,TEST,0,0
25,TEST,0,0
26,TEST,0,0
27,TEST,0,0
28,TEST,0,0
29,TEST,0,0
43,TEST,0,0
44,TEST,0,0
45,TEST,0,0
46,TEST,0,0
47,TEST,0,0
48,TEST,0,0
62,TEST,0,0
63,TEST,0,0
64,TEST,0,0
65,TEST,0,0
66,TEST,0,0
67,TEST,0,0
81,TEST,0,0
82,TEST,0,0
83,TEST,0,0
84,TEST,0,0
85,TEST,0,0
86,TEST,0,0
100,TEST,0,0
101,TEST,0,0
102,TEST,0,0
103,TEST,0,0
104,TEST,0,0
105,TEST,0,0
119,TEST,0,0
120,TEST,0,0
121,TEST,0,0
122,TEST,0,0
123,TEST,0,0
124,TEST,0,0
138,TEST,0,0
139,TEST,0,0
140,TEST,0,0
141,TEST,0,0
142,TEST,0,0
143,TEST,0,0
157,TEST,0,0
158,TEST,0,0
159,TEST,0,0
160,TEST,0,0
161,TEST,0,0
162,TEST,0,0
176,TEST,0,0
177,TEST,0,0
178,TEST,0,0
179,TEST,0,0
180,TEST,0,0
181,TEST,0,0
195,TEST,0,0
196,TEST,0,0
197,TEST,0,0
198,TEST,0,0
199,TEST,0,0
200,TEST,0,0
225,TEST,0,0
226,TEST,0,0
227,TEST,0,0
228,TEST,0,0
229,TEST,0,0
230,TEST,0,0
244,TEST,0,0
245,TEST,0,0
246,TEST,0,0
247,TEST,0,0
248,TEST,0,0
249,TEST,0,0
263,TEST,0,0
264,TEST,0,0
265,TEST,0,0
266,TEST,0,0
267,TEST,0,0
268,TEST,0,0
282,TEST,0,0
283,TEST,0,0
284,TEST,0,0
285,TEST,0,0
286,TEST,0,0
287,TEST,0,0
301,TEST,0,0
302,TEST,0,0
303,TEST,0,0
304,TEST,0,0
305,TEST,0,0
306,TEST,0,0
320,TEST,0,0
321,TEST,0,0
322,TEST,0,0
323,TEST,0,0
324,TEST,0,0
325,TEST,0,0
339,TEST,0,0
340,TEST,0,0
341,TEST,0,0
342,TEST,0,0
343,TEST,0,0
344,TEST,0,0
358,TEST,0,0
359,TEST,0,0
360,TEST,0,0
361,TEST,0,0
362,TEST,0,0
363,TEST,0,0
377,TEST,0,0
378,TEST,0,0
379,TEST,0,0
380,TEST,0,0
381,TEST,0,0
382,TEST,0,0
396,TEST,0,0
397,TEST,0,0
398,TEST,0,0
399,TEST,0,0
400,TEST,0,0
401,TEST,0,0
415,TEST,0,0
416,TEST,0,0
417,TEST,0,0
418,TEST,0,0
419,TEST,0,0
420,TEST,0,0
445,TEST,0,0
446,TEST,0,0
447,TEST,0,0
448,TEST,0,0
449,TEST,0,0
450,TEST,0,0
475,TEST,0,0
476,TEST,0,0
477,TEST,0,0
478,TEST,0,0
479,TEST,0,0
480,TEST,0,0
494,TEST,0,0
495,TEST,0,0
496,TEST,0,0
497,TEST,0,0
498,TEST,0,0
499,TEST,0,0
513,TEST,0,0
514,TEST,0,0
515,TEST,0,0
516,TEST,0,0
517,TEST,0,0
518,TEST,0,0
532,TEST,0,0
533,TEST,0,0
534,TEST,0,0
535,TEST,0,0
536,TEST,0,0
537,TEST,0,0
551,TEST,0,0
552,TEST,0,0
553,TEST,0,0
554,TEST,0,0
555,TEST,0,0
556,TEST,0,0
570,TEST,0,0
571,TEST,0,0
572,TEST,0,0
573,TEST,0,0
574,TEST,0,0
575,TEST,0,0
589,TEST,0,0
590,TEST,0,0
591,TEST,0,0
592,TEST,0,0
593,TEST,0,0
594,TEST,0,0
608,TEST,0,0
609,TEST,0,0
610,TEST,0,0
611,TEST,0,0
612,TEST,0,0
613,TEST,0,0
627,TEST,0,0
628,TEST,0,0
629,TEST,0,0
630,TEST,0,0
631,TEST,0,0
632,TEST,0,0
646,TEST,0,0
647,TEST,0,0
648,TEST,0,0
649,TEST,0,0
650,TEST,0,0
651,TEST,0,0
676,TEST,0,0
677,TEST,0,0
678,TEST,0,0
679,TEST,0,0
680,TEST,0,0
681,TEST,0,0
706,TEST,0,0
707,TEST,0,0
708,TEST,0,0
709,TEST,0,0
710,TEST,0,0
711,TEST,0,0
736,TEST,0,0
737,TEST,0,0
738,TEST,0,0
739,TEST,0,0
740,TEST,0,0
741,TEST,0,0
755,TEST,0,0
756,TEST,0,0
757,TEST,0,0
758,TEST,0,0
759,TEST,0,0
760,TEST,0,0
774,TEST,0,0
775,TEST,0,0
776,TEST,0,0
777,TEST,0,0
778,TEST,0,0
779,TEST,0,0
793,TEST,0,0
794,TEST,0,0
795,TEST,0,0
796,TEST,0,0
797,TEST,0,0
798,TEST,0,0
812,TEST,0,0
813,TEST,0,0
814,TEST,0,0
815,TEST,0,0
816,TEST,0,0
817,TEST,0,0
831,TEST,0,0
832,TEST,0,0
833,TEST,0,0
834,TEST,0,0
835,TEST,0,0
836,TEST,0,0
850,TEST,0,0
851,TEST,0,0
852,TEST,0,0
853,TEST,0,0
854,TEST,0,0
855,TEST,0,0
869,TEST,0,0
870,TEST,0,0
871,TEST,0,0
872,TEST,0,0
873,TEST,0,0
874,TEST,0,0
888,TEST,0,0
889,TEST,0,0
890,TEST,0,0
891,TEST,0,0
892,TEST,0,0
893,TEST,0,0
907,TEST,0,0
908,TEST,0,0
909,TEST,0,0
910,TEST,0,0
911,TEST,0,0
912,TEST,0,0
926,TEST,0,0
927,TEST,0,0
928,TEST,0,0
929,TEST,0,0
930,TEST,0,0
931,TEST,0,0
945,TEST,0,0
946,TEST,0,0
947,TEST,0,0
948,TEST,0,0
949,TEST,0,0
950,TEST,0,0
964,TEST,0,0
965,TEST,0,0
966,TEST,0,0
967,TEST,0,0
968,TEST,0,0
969,TEST,0,0
983,TEST,0,0
984,TEST,0,0
985,TEST,0,0
986,TEST,0,0
987,TEST,0,0
988,TEST,0,0
992,TEST,0,0
993,TEST,0,0
994,TEST,0,0
995,TEST,0,0
996,TEST,0,0
997,TEST,0,0
1033,TEST,0,0
1034,TEST,0,0
1035,TEST,0,0
1036,TEST,0,0
1037,TEST,0,0
1038,TEST,0,0
1052,TEST,0,0
1053,TEST,0,0
1054,TEST,0,0
1055,TEST,0,0
1056,TEST,0,0
1057,TEST,0,0
1071,TEST,0,0
1072,TEST,0,0
1073,TEST,0,0
1074,TEST,0,0
1075,TEST,0,0
1076,TEST,0,0
1090,TEST,0,0
1091,TEST,0,0
1092,TEST,0,0
1093,TEST,0,0
1094,TEST,0,0
1095,TEST,0,0
1109,TEST,0,0
1110,TEST,0,0
1111,TEST,0,0
1112,TEST,0,0
1113,TEST,0,0
1114,TEST,0,0
1128,TEST,0,0
1129,TEST,0,0
1130,TEST,0,0
1131,TEST,0,0
1132,TEST,0,0
1133,TEST,0,0
1147,TEST,0,0
1148,TEST,0,0
1149,TEST,0,0
1150,TEST,0,0
1151,TEST,0,0
1152,TEST,0,0
1166,TEST,0,0
1167,TEST,0,0
1168,TEST,0,0
1169,TEST,0,0
1170,TEST,0,0
1171,TEST,0,0
1185,TEST,0,0
1186,TEST,0,0
1187,TEST,0,0
1188,TEST,0,0
1189,TEST,0,0
1190,TEST,0,0
1204,TEST,0,0
1205,TEST,0,0
1206,TEST,0,0
