d3mIndex,nodeID,label
4,5,4
16,17,3
21,22,3
85,86,3
89,90,5
90,91,1
107,108,4
108,109,4
111,112,1
112,113,1
114,115,5
115,116,4
121,122,1
133,134,1
151,152,5
161,162,4
169,170,1
170,171,4
189,190,6
196,197,2
203,204,1
205,206,1
206,207,1
207,208,1
238,239,1
251,252,5
263,264,1
278,279,4
285,286,7
301,302,1
341,342,1
344,345,2
358,359,4
362,363,1
399,400,1
405,406,1
410,411,3
417,418,2
419,420,4
422,423,6
425,426,3
431,432,5
432,433,2
454,455,7
463,464,3
466,467,3
492,493,3
546,547,6
551,552,3
552,553,3
555,556,5
565,566,3
569,570,5
584,585,4
589,590,1
605,606,1
618,619,5
621,622,3
625,626,1
626,627,1
627,628,1
631,632,1
634,635,7
637,638,4
640,641,5
646,647,4
670,671,7
679,680,7
690,691,7
704,705,4
706,707,5
709,710,1
717,718,6
719,720,1
728,729,6
738,739,3
751,752,1
801,802,7
818,819,7
830,831,1
848,849,5
852,853,4
856,857,6
858,859,7
859,860,5
881,882,1
882,883,3
887,888,5
899,900,1
934,935,6
947,948,7
951,952,7
956,957,6
962,963,1
972,973,6
983,984,7
984,985,7
987,988,4
1000,1001,5
1023,1024,1
1027,1028,5
1031,1032,1
1036,1037,6
1038,1039,1
1091,1092,1
1115,1116,1
1117,1118,6
1123,1124,7
1133,1134,4
1161,1162,5
1173,1174,5
1180,1181,2
1194,1195,7
1199,1200,5
1216,1217,6
1241,1242,4
1246,1247,1
1251,1252,1
1256,1257,2
1280,1281,5
1299,1300,6
1302,1303,7
1310,1311,5
1311,1312,6
1333,1334,6
1348,1349,7
1358,1359,5
1369,1370,6
1371,1372,6
1373,1374,1
1374,1375,1
1404,1405,6
1427,1428,4
1479,1480,4
1496,1497,7
1503,1504,4
1521,1522,5
1523,1524,6
1531,1532,7
1537,1538,7
1542,1543,7
1558,1559,6
1563,1564,6
1578,1579,2
1582,1583,4
1589,1590,3
1596,1597,2
1601,1602,1
1606,1607,1
1612,1613,1
1616,1617,3
1620,1621,2
1624,1625,4
1636,1637,7
1647,1648,5
1654,1655,4
1675,1676,6
1681,1682,4
1694,1695,6
1725,1726,1
1729,1730,6
1740,1741,6
1745,1746,6
1751,1752,1
1759,1760,4
1761,1762,4
1762,1763,5
1763,1764,1
1766,1767,1
1772,1773,1
1786,1787,5
1788,1789,1
1796,1797,6
1805,1806,7
1827,1828,5
1833,1834,5
1856,1857,4
1857,1858,4
1858,1859,5
1880,1881,6
1881,1882,2
1885,1886,1
1895,1896,1
1909,1910,4
1911,1912,6
1925,1926,6
1927,1928,1
1947,1948,1
1957,1958,3
1963,1964,2
1967,1968,5
1968,1969,1
1969,1970,3
1970,1971,1
1982,1983,4
1984,1985,6
1989,1990,7
1993,1994,4
1995,1996,4
1998,1999,1
2009,2010,2
2048,2049,7
2064,2065,4
2070,2071,2
2080,2081,5
2083,2084,1
2089,2090,6
2090,2091,1
2117,2118,1
2130,2131,6
2133,2134,6
2135,2136,1
2144,2145,4
2152,2153,6
2155,2156,1
2178,2179,1
2200,2201,6
2204,2205,6
2227,2228,1
2228,2229,1
2240,2241,2
2247,2248,1
2250,2251,6
2251,2252,6
2256,2257,1
2262,2263,1
2269,2270,6
2289,2290,7
2290,2291,2
2300,2301,2
2304,2305,1
2328,2329,3
2342,2343,5
2345,2346,5
2346,2347,5
2348,2349,4
2351,2352,1
2366,2367,4
2374,2375,1
2403,2404,7
2408,2409,3
2410,2411,1
2415,2416,7
2420,2421,4
2428,2429,4
2440,2441,1
2441,2442,2
2442,2443,3
2448,2449,1
2465,2466,7
2494,2495,3
2507,2508,1
2513,2514,1
2521,2522,6
2523,2524,1
2524,2525,4
2539,2540,2
2540,2541,1
2546,2547,4
2563,2564,6
2567,2568,1
2573,2574,4
2597,2598,7
2631,2632,1
2670,2671,1
2671,2672,1
2675,2676,5
2684,2685,1
2685,2686,5
2693,2694,4
