d3mIndex,type,repeat,fold
4,TRAIN,0,0
16,TRAIN,0,0
21,TRAIN,0,0
85,TRAIN,0,0
89,TRAIN,0,0
90,TRAIN,0,0
107,TRAIN,0,0
108,TRAIN,0,0
111,TRAIN,0,0
112,TRAIN,0,0
114,TRAIN,0,0
115,TRAIN,0,0
121,TRAIN,0,0
133,TRAIN,0,0
151,TRAIN,0,0
161,TRAIN,0,0
169,TRAIN,0,0
170,TRAIN,0,0
189,TRAIN,0,0
196,TRAIN,0,0
203,TRAIN,0,0
205,TRAIN,0,0
206,TRAIN,0,0
207,TRAIN,0,0
238,TRAIN,0,0
251,TRAIN,0,0
263,TRAIN,0,0
278,TRAIN,0,0
285,TRAIN,0,0
301,TRAIN,0,0
341,TRAIN,0,0
344,TRAIN,0,0
358,TRAIN,0,0
362,TRAIN,0,0
399,TRAIN,0,0
405,TRAIN,0,0
410,TRAIN,0,0
417,TRAIN,0,0
419,TRAIN,0,0
422,TRAIN,0,0
425,TRAIN,0,0
431,TRAIN,0,0
432,TRAIN,0,0
454,TRAIN,0,0
463,TRAIN,0,0
466,TRAIN,0,0
492,TRAIN,0,0
546,TRAIN,0,0
551,TRAIN,0,0
552,TRAIN,0,0
555,TRAIN,0,0
565,TRAIN,0,0
569,TRAIN,0,0
584,TRAIN,0,0
589,TRAIN,0,0
605,TRAIN,0,0
618,TRAIN,0,0
621,TRAIN,0,0
625,TRAIN,0,0
626,TRAIN,0,0
627,TRAIN,0,0
631,TRAIN,0,0
634,TRAIN,0,0
637,TRAIN,0,0
640,TRAIN,0,0
646,TRAIN,0,0
670,TRAIN,0,0
679,TRAIN,0,0
690,TRAIN,0,0
704,TRAIN,0,0
706,TRAIN,0,0
709,TRAIN,0,0
717,TRAIN,0,0
719,TRAIN,0,0
728,TRAIN,0,0
738,TRAIN,0,0
751,TRAIN,0,0
801,TRAIN,0,0
818,TRAIN,0,0
830,TRAIN,0,0
848,TRAIN,0,0
852,TRAIN,0,0
856,TRAIN,0,0
858,TRAIN,0,0
859,TRAIN,0,0
881,TRAIN,0,0
882,TRAIN,0,0
887,TRAIN,0,0
899,TRAIN,0,0
934,TRAIN,0,0
947,TRAIN,0,0
951,TRAIN,0,0
956,TRAIN,0,0
962,TRAIN,0,0
972,TRAIN,0,0
983,TRAIN,0,0
984,TRAIN,0,0
987,TRAIN,0,0
1000,TRAIN,0,0
1023,TRAIN,0,0
1027,TRAIN,0,0
1031,TRAIN,0,0
1036,TRAIN,0,0
1038,TRAIN,0,0
1091,TRAIN,0,0
1115,TRAIN,0,0
1117,TRAIN,0,0
1123,TRAIN,0,0
1133,TRAIN,0,0
1161,TRAIN,0,0
1173,TRAIN,0,0
1180,TRAIN,0,0
1194,TRAIN,0,0
1199,TRAIN,0,0
1216,TRAIN,0,0
1241,TRAIN,0,0
1246,TRAIN,0,0
1251,TRAIN,0,0
1256,TRAIN,0,0
1280,TRAIN,0,0
1299,TRAIN,0,0
1302,TRAIN,0,0
1310,TRAIN,0,0
1311,TRAIN,0,0
1333,TRAIN,0,0
1348,TRAIN,0,0
1358,TRAIN,0,0
1369,TRAIN,0,0
1371,TRAIN,0,0
1373,TRAIN,0,0
1374,TRAIN,0,0
1404,TRAIN,0,0
1427,TRAIN,0,0
1479,TRAIN,0,0
1496,TRAIN,0,0
1503,TRAIN,0,0
1521,TRAIN,0,0
1523,TRAIN,0,0
1531,TRAIN,0,0
1537,TRAIN,0,0
1542,TRAIN,0,0
1558,TRAIN,0,0
1563,TRAIN,0,0
1578,TRAIN,0,0
1582,TRAIN,0,0
1589,TRAIN,0,0
1596,TRAIN,0,0
1601,TRAIN,0,0
1606,TRAIN,0,0
1612,TRAIN,0,0
1616,TRAIN,0,0
1620,TRAIN,0,0
1624,TRAIN,0,0
1636,TRAIN,0,0
1647,TRAIN,0,0
1654,TRAIN,0,0
1675,TRAIN,0,0
1681,TRAIN,0,0
1694,TRAIN,0,0
1725,TRAIN,0,0
1729,TRAIN,0,0
1740,TRAIN,0,0
1745,TRAIN,0,0
1751,TRAIN,0,0
1759,TRAIN,0,0
1761,TRAIN,0,0
1762,TRAIN,0,0
1763,TRAIN,0,0
1766,TRAIN,0,0
1772,TRAIN,0,0
1786,TRAIN,0,0
1788,TRAIN,0,0
1796,TRAIN,0,0
1805,TRAIN,0,0
1827,TRAIN,0,0
1833,TRAIN,0,0
1856,TRAIN,0,0
1857,TRAIN,0,0
1858,TRAIN,0,0
1880,TRAIN,0,0
1881,TRAIN,0,0
1885,TRAIN,0,0
1895,TRAIN,0,0
1909,TRAIN,0,0
1911,TRAIN,0,0
1925,TRAIN,0,0
1927,TRAIN,0,0
1947,TRAIN,0,0
1957,TRAIN,0,0
1963,TRAIN,0,0
1967,TRAIN,0,0
1968,TRAIN,0,0
1969,TRAIN,0,0
1970,TRAIN,0,0
1982,TRAIN,0,0
1984,TRAIN,0,0
1989,TRAIN,0,0
1993,TRAIN,0,0
1995,TRAIN,0,0
1998,TRAIN,0,0
2009,TRAIN,0,0
2048,TRAIN,0,0
2064,TRAIN,0,0
2070,TRAIN,0,0
2080,TRAIN,0,0
2083,TRAIN,0,0
2089,TRAIN,0,0
2090,TRAIN,0,0
2117,TRAIN,0,0
2130,TRAIN,0,0
2133,TRAIN,0,0
2135,TRAIN,0,0
2144,TRAIN,0,0
2152,TRAIN,0,0
2155,TRAIN,0,0
2178,TRAIN,0,0
2200,TRAIN,0,0
2204,TRAIN,0,0
2227,TRAIN,0,0
2228,TRAIN,0,0
2240,TRAIN,0,0
2247,TRAIN,0,0
2250,TRAIN,0,0
2251,TRAIN,0,0
2256,TRAIN,0,0
2262,TRAIN,0,0
2269,TRAIN,0,0
2289,TRAIN,0,0
2290,TRAIN,0,0
2300,TRAIN,0,0
2304,TRAIN,0,0
2328,TRAIN,0,0
2342,TRAIN,0,0
2345,TRAIN,0,0
2346,TRAIN,0,0
2348,TRAIN,0,0
2351,TRAIN,0,0
2366,TRAIN,0,0
2374,TRAIN,0,0
2403,TRAIN,0,0
2408,TRAIN,0,0
2410,TRAIN,0,0
2415,TRAIN,0,0
2420,TRAIN,0,0
2428,TRAIN,0,0
2440,TRAIN,0,0
2441,TRAIN,0,0
2442,TRAIN,0,0
2448,TRAIN,0,0
2465,TRAIN,0,0
2494,TRAIN,0,0
2507,TRAIN,0,0
2513,TRAIN,0,0
2521,TRAIN,0,0
2523,TRAIN,0,0
2524,TRAIN,0,0
2539,TRAIN,0,0
2540,TRAIN,0,0
2546,TRAIN,0,0
2563,TRAIN,0,0
2567,TRAIN,0,0
2573,TRAIN,0,0
2597,TRAIN,0,0
2631,TRAIN,0,0
2670,TRAIN,0,0
2671,TRAIN,0,0
2675,TRAIN,0,0
2684,TRAIN,0,0
2685,TRAIN,0,0
2693,TRAIN,0,0
