d3mIndex,cultivar,sitename,day,canopy_height
0,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,12,10
1,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,13,10
2,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,14,10
3,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,15,10
4,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,16,10
5,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,17,10
6,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,18,12
7,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,19,12
8,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,22,14
9,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,24,14
10,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,26,18
11,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,27,19
12,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,29,23
13,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,30,25
14,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,31,28
15,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,36,51
16,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,45,112
17,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,46,144
18,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,47,129
19,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,48,163
20,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,49,172
21,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,50,148
22,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,51,159
23,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,52,181
24,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,57,205
25,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,73,284
26,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,75,285
27,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,77,289
28,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,78,288
29,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,80,285
