d3mIndex,cultivar,sitename,day,canopy_height
33,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,133,341
67,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,133,336
88,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,133,348
114,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,133,399
140,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,133,364
158,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,122,340
179,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,124,283
215,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,132,309
236,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,122,338
271,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,132,375
289,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,122,334
318,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,133,328
336,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,122,330
354,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,122,277
372,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,122,288
417,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,133,355
462,PI152727,MAC Field Scanner Season 4 Range 30 Column 9,133,344
500,PI152728,MAC Field Scanner Season 4 Range 44 Column 5,132,398
522,PI152728,MAC Field Scanner Season 4 Range 44 Column 6,124,313
548,PI152728,MAC Field Scanner Season 4 Range 5 Column 15,133,354
586,PI152730,MAC Field Scanner Season 4 Range 45 Column 11,132,370
624,PI152730,MAC Field Scanner Season 4 Range 45 Column 12,132,350
663,PI152733,MAC Field Scanner Season 4 Range 48 Column 13,132,399
702,PI152733,MAC Field Scanner Season 4 Range 48 Column 14,132,385
737,PI152751,MAC Field Scanner Season 4 Range 52 Column 11,132,350
757,PI152751,MAC Field Scanner Season 4 Range 52 Column 12,124,311
778,PI152771,MAC Field Scanner Season 4 Range 36 Column 7,122,364
813,PI152771,MAC Field Scanner Season 4 Range 36 Column 8,132,384
845,PI152816,MAC Field Scanner Season 4 Range 29 Column 3,133,298
877,PI152816,MAC Field Scanner Season 4 Range 29 Column 4,133,336
910,PI152923,MAC Field Scanner Season 4 Range 26 Column 10,133,366
943,PI152923,MAC Field Scanner Season 4 Range 26 Column 9,133,359
978,PI152923,MAC Field Scanner Season 4 Range 35 Column 5,132,333
999,PI152923,MAC Field Scanner Season 4 Range 35 Column 6,122,341
1029,PI152961,MAC Field Scanner Season 4 Range 21 Column 7,133,348
1048,PI152961,MAC Field Scanner Season 4 Range 21 Column 8,122,337
1069,PI152961,MAC Field Scanner Season 4 Range 32 Column 3,133,347
1090,PI152961,MAC Field Scanner Season 4 Range 32 Column 4,133,321
1108,PI152971,MAC Field Scanner Season 4 Range 15 Column 13,122,361
1126,PI152971,MAC Field Scanner Season 4 Range 15 Column 14,122,312
1148,PI152971,MAC Field Scanner Season 4 Range 28 Column 3,133,300
1170,PI152971,MAC Field Scanner Season 4 Range 28 Column 4,133,316
1200,PI153877,MAC Field Scanner Season 4 Range 19 Column 5,133,376
1218,PI153877,MAC Field Scanner Season 4 Range 19 Column 6,122,376
1239,PI153877,MAC Field Scanner Season 4 Range 34 Column 10,133,328
1260,PI153877,MAC Field Scanner Season 4 Range 34 Column 9,133,337
1281,PI154844,MAC Field Scanner Season 4 Range 42 Column 7,122,348
1316,PI154844,MAC Field Scanner Season 4 Range 42 Column 8,132,344
1337,PI154846,MAC Field Scanner Season 4 Range 39 Column 15,122,350
1376,PI154944,MAC Field Scanner Season 4 Range 48 Column 5,132,370
1415,PI154944,MAC Field Scanner Season 4 Range 48 Column 6,129,378
1431,PI154987,MAC Field Scanner Season 4 Range 5 Column 10,122,369
1457,PI154987,MAC Field Scanner Season 4 Range 5 Column 9,133,361
1478,PI154988,MAC Field Scanner Season 4 Range 50 Column 13,124,336
1499,PI154988,MAC Field Scanner Season 4 Range 50 Column 14,124,329
1526,PI155516,MAC Field Scanner Season 4 Range 7 Column 13,133,383
1553,PI155516,MAC Field Scanner Season 4 Range 7 Column 14,133,368
1572,PI155760,MAC Field Scanner Season 4 Range 21 Column 11,122,359
1602,PI155760,MAC Field Scanner Season 4 Range 21 Column 12,133,373
1637,PI155760,MAC Field Scanner Season 4 Range 52 Column 7,128,389
1657,PI155760,MAC Field Scanner Season 4 Range 52 Column 8,124,383
1676,PI155885,MAC Field Scanner Season 4 Range 25 Column 11,122,334
1695,PI155885,MAC Field Scanner Season 4 Range 25 Column 12,122,350
1716,PI155885,MAC Field Scanner Season 4 Range 36 Column 3,122,341
1751,PI155885,MAC Field Scanner Season 4 Range 36 Column 4,132,339
1778,PI156178,MAC Field Scanner Season 4 Range 8 Column 10,133,376
1805,PI156178,MAC Field Scanner Season 4 Range 8 Column 9,133,394
1821,PI156217,MAC Field Scanner Season 4 Range 4 Column 13,122,325
1847,PI156217,MAC Field Scanner Season 4 Range 4 Column 14,133,368
1869,PI156268,MAC Field Scanner Season 4 Range 44 Column 10,124,369
1907,PI156268,MAC Field Scanner Season 4 Range 44 Column 9,132,387
1929,PI156326,MAC Field Scanner Season 4 Range 48 Column 15,124,319
1951,PI156487,MAC Field Scanner Season 4 Range 44 Column 7,124,364
1989,PI156487,MAC Field Scanner Season 4 Range 44 Column 8,132,399
2017,PI156890,MAC Field Scanner Season 4 Range 15 Column 7,133,340
2045,PI156890,MAC Field Scanner Season 4 Range 15 Column 8,133,357
2063,PI157030,MAC Field Scanner Season 4 Range 17 Column 13,122,332
2092,PI157030,MAC Field Scanner Season 4 Range 17 Column 14,133,370
2110,PI157035,MAC Field Scanner Season 4 Range 19 Column 13,122,323
2140,PI157035,MAC Field Scanner Season 4 Range 19 Column 14,133,350
2162,PI157035,MAC Field Scanner Season 4 Range 45 Column 15,124,322
2183,PI157804,MAC Field Scanner Season 4 Range 38 Column 13,122,378
2218,PI157804,MAC Field Scanner Season 4 Range 38 Column 14,132,365
2240,PI170787,MAC Field Scanner Season 4 Range 27 Column 10,133,340
2274,PI170787,MAC Field Scanner Season 4 Range 27 Column 9,133,340
2301,PI175919,MAC Field Scanner Season 4 Range 10 Column 5,133,337
2328,PI175919,MAC Field Scanner Season 4 Range 10 Column 6,133,320
2363,PI175919,MAC Field Scanner Season 4 Range 38 Column 7,132,381
2384,PI175919,MAC Field Scanner Season 4 Range 38 Column 8,122,356
2419,PI176766,MAC Field Scanner Season 4 Range 36 Column 10,128,397
2440,PI176766,MAC Field Scanner Season 4 Range 36 Column 9,122,390
2467,PI176766,MAC Field Scanner Season 4 Range 8 Column 3,133,316
2494,PI176766,MAC Field Scanner Season 4 Range 8 Column 4,133,307
2512,PI179749,MAC Field Scanner Season 4 Range 10 Column 11,122,358
2539,PI179749,MAC Field Scanner Season 4 Range 10 Column 12,133,369
2557,PI180348,MAC Field Scanner Season 4 Range 11 Column 7,122,272
2575,PI180348,MAC Field Scanner Season 4 Range 11 Column 8,122,264
2603,PI181080,MAC Field Scanner Season 4 Range 12 Column 10,133,268
2631,PI181080,MAC Field Scanner Season 4 Range 12 Column 9,133,253
2652,PI181080,MAC Field Scanner Season 4 Range 33 Column 3,133,282
2673,PI181080,MAC Field Scanner Season 4 Range 33 Column 4,133,273
2691,PI181083,MAC Field Scanner Season 4 Range 11 Column 10,122,266
2717,PI181083,MAC Field Scanner Season 4 Range 11 Column 9,133,281
2738,PI181083,MAC Field Scanner Season 4 Range 50 Column 3,124,293
2775,PI181083,MAC Field Scanner Season 4 Range 50 Column 4,132,312
2796,PI195754,MAC Field Scanner Season 4 Range 31 Column 3,133,310
2817,PI195754,MAC Field Scanner Season 4 Range 31 Column 4,133,298
2839,PI196586,MAC Field Scanner Season 4 Range 27 Column 13,133,357
2861,PI196586,MAC Field Scanner Season 4 Range 27 Column 14,133,343
2891,PI196598,MAC Field Scanner Season 4 Range 18 Column 5,133,349
2921,PI196598,MAC Field Scanner Season 4 Range 18 Column 6,133,320
2957,PI19770,MAC Field Scanner Season 4 Range 51 Column 15,132,334
2985,PI213900,MAC Field Scanner Season 4 Range 12 Column 13,133,286
3013,PI213900,MAC Field Scanner Season 4 Range 12 Column 14,133,331
3048,PI213900,MAC Field Scanner Season 4 Range 38 Column 3,132,311
3069,PI213900,MAC Field Scanner Season 4 Range 38 Column 4,122,304
3087,PI217691,MAC Field Scanner Season 4 Range 18 Column 11,122,336
3105,PI217691,MAC Field Scanner Season 4 Range 18 Column 12,122,316
3123,PI221548,MAC Field Scanner Season 4 Range 12 Column 11,122,296
3151,PI221548,MAC Field Scanner Season 4 Range 12 Column 12,133,297
3173,PI221651,MAC Field Scanner Season 4 Range 28 Column 13,133,342
3206,PI221651,MAC Field Scanner Season 4 Range 28 Column 14,133,290
3232,PI221651,MAC Field Scanner Season 4 Range 5 Column 5,133,394
3258,PI221651,MAC Field Scanner Season 4 Range 5 Column 6,132,395
3284,PI22913,MAC Field Scanner Season 4 Range 3 Column 5,133,397
3300,PI22913,MAC Field Scanner Season 4 Range 3 Column 6,122,394
3321,PI22913,MAC Field Scanner Season 4 Range 34 Column 7,133,338
3342,PI22913,MAC Field Scanner Season 4 Range 34 Column 8,133,308
3363,PI251672,MAC Field Scanner Season 4 Range 42 Column 5,122,380
3384,PI251672,MAC Field Scanner Season 4 Range 42 Column 6,122,356
3403,PI253986,MAC Field Scanner Season 4 Range 12 Column 5,122,316
3421,PI253986,MAC Field Scanner Season 4 Range 12 Column 6,122,331
3439,PI255744,MAC Field Scanner Season 4 Range 10 Column 13,122,359
3457,PI255744,MAC Field Scanner Season 4 Range 10 Column 14,122,337
3476,PI257599,MAC Field Scanner Season 4 Range 23 Column 11,122,352
3506,PI257599,MAC Field Scanner Season 4 Range 23 Column 12,133,366
3527,PI257600,MAC Field Scanner Season 4 Range 42 Column 3,122,339
3562,PI257600,MAC Field Scanner Season 4 Range 42 Column 4,132,377
3584,PI267573,MAC Field Scanner Season 4 Range 26 Column 11,133,362
3606,PI267573,MAC Field Scanner Season 4 Range 26 Column 12,133,321
3644,PI276837,MAC Field Scanner Season 4 Range 44 Column 15,132,339
