d3mIndex,type,fold,repeat
33,TEST,0,0
67,TEST,0,0
88,TEST,0,0
114,TEST,0,0
140,TEST,0,0
158,TEST,0,0
179,TEST,0,0
215,TEST,0,0
236,TEST,0,0
271,TEST,0,0
289,TEST,0,0
318,TEST,0,0
336,TEST,0,0
354,TEST,0,0
372,TEST,0,0
417,TEST,0,0
462,TEST,0,0
500,TEST,0,0
522,TEST,0,0
548,TEST,0,0
586,TEST,0,0
624,TEST,0,0
663,TEST,0,0
702,TEST,0,0
737,TEST,0,0
757,TEST,0,0
778,TEST,0,0
813,TEST,0,0
845,TEST,0,0
877,TEST,0,0
910,TEST,0,0
943,TEST,0,0
978,TEST,0,0
999,TEST,0,0
1029,TEST,0,0
1048,TEST,0,0
1069,TEST,0,0
1090,TEST,0,0
1108,TEST,0,0
1126,TEST,0,0
1148,TEST,0,0
1170,TEST,0,0
1200,TEST,0,0
1218,TEST,0,0
1239,TEST,0,0
1260,TEST,0,0
1281,TEST,0,0
1316,TEST,0,0
1337,TEST,0,0
1376,TEST,0,0
1415,TEST,0,0
1431,TEST,0,0
1457,TEST,0,0
1478,TEST,0,0
1499,TEST,0,0
1526,TEST,0,0
1553,TEST,0,0
1572,TEST,0,0
1602,TEST,0,0
1637,TEST,0,0
1657,TEST,0,0
1676,TEST,0,0
1695,TEST,0,0
1716,TEST,0,0
1751,TEST,0,0
1778,TEST,0,0
1805,TEST,0,0
1821,TEST,0,0
1847,TEST,0,0
1869,TEST,0,0
1907,TEST,0,0
1929,TEST,0,0
1951,TEST,0,0
1989,TEST,0,0
2017,TEST,0,0
2045,TEST,0,0
2063,TEST,0,0
2092,TEST,0,0
2110,TEST,0,0
2140,TEST,0,0
2162,TEST,0,0
2183,TEST,0,0
2218,TEST,0,0
2240,TEST,0,0
2274,TEST,0,0
2301,TEST,0,0
2328,TEST,0,0
2363,TEST,0,0
2384,TEST,0,0
2419,TEST,0,0
2440,TEST,0,0
2467,TEST,0,0
2494,TEST,0,0
2512,TEST,0,0
2539,TEST,0,0
2557,TEST,0,0
2575,TEST,0,0
2603,TEST,0,0
2631,TEST,0,0
2652,TEST,0,0
2673,TEST,0,0
2691,TEST,0,0
2717,TEST,0,0
2738,TEST,0,0
2775,TEST,0,0
2796,TEST,0,0
2817,TEST,0,0
2839,TEST,0,0
2861,TEST,0,0
2891,TEST,0,0
2921,TEST,0,0
2957,TEST,0,0
2985,TEST,0,0
3013,TEST,0,0
3048,TEST,0,0
3069,TEST,0,0
3087,TEST,0,0
3105,TEST,0,0
3123,TEST,0,0
3151,TEST,0,0
3173,TEST,0,0
3206,TEST,0,0
3232,TEST,0,0
3258,TEST,0,0
3284,TEST,0,0
3300,TEST,0,0
3321,TEST,0,0
3342,TEST,0,0
3363,TEST,0,0
3384,TEST,0,0
3403,TEST,0,0
3421,TEST,0,0
3439,TEST,0,0
3457,TEST,0,0
3476,TEST,0,0
3506,TEST,0,0
3527,TEST,0,0
3562,TEST,0,0
3584,TEST,0,0
3606,TEST,0,0
3644,TEST,0,0
3662,TEST,0,0
3680,TEST,0,0
3701,TEST,0,0
3722,TEST,0,0
3740,TEST,0,0
3758,TEST,0,0
3784,TEST,0,0
3800,TEST,0,0
3838,TEST,0,0
3860,TEST,0,0
3887,TEST,0,0
3914,TEST,0,0
3940,TEST,0,0
3966,TEST,0,0
4001,TEST,0,0
4036,TEST,0,0
4062,TEST,0,0
4088,TEST,0,0
4109,TEST,0,0
4130,TEST,0,0
4151,TEST,0,0
4172,TEST,0,0
4202,TEST,0,0
4221,TEST,0,0
4256,TEST,0,0
4291,TEST,0,0
4312,TEST,0,0
4333,TEST,0,0
