"d3mIndex","month","year","nmonth","republican","loyalist","britishforces","unknown","lagrep","lagloy","lagbrt","lagunk","ruc","udr","ba","totalforces","cathunemp","protunemp","yearmonth","unemploymentDisparity"
1,"July",1969,7,0,0,2,0,0,0,0,0,3.04399991035461,0,2.69300007820129,5737,0.0710000023245811,0.0100028673186898,1969.5,0.876512185768955
2,"August",1969,8,2,1,6,0,0,0,2,0,3.04399991035461,0,2.69300007820129,5737,0.0729999989271164,0.0100027313455939,1969.58333333333,0.879489128698184
4,"October",1969,10,0,2,2,0,1,0,0,0,3.04399991035461,0,2.69300007820129,5737,0.0759999975562096,0.0100027015432715,1969.75,0.883693167214424
5,"November",1969,11,0,0,0,0,0,2,2,0,3.04399991035461,0,2.69300007820129,5737,0.0820000022649765,0.0100028878077865,1969.83333333333,0.891276374036996
6,"December",1969,12,0,0,0,0,0,0,0,0,3.04399991035461,0,2.69300007820129,5737,0.0820000022649765,0.0100028878077865,1969.91666666667,0.891276374036996
9,"March",1970,3,0,0,0,0,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200558081269,1970.16666666667,0.889913759193876
10,"April",1970,4,1,0,0,0,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200092419982,1970.25,0.889914214476609
11,"April",1970,4,0,0,0,0,1,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200558081269,1970.25,0.889913759193876
12,"May",1970,5,0,0,0,0,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100200558081269,1970.33333333333,0.889913759193876
13,"June",1970,6,10,1,0,1,0,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0820000022649765,0.0100188329815865,1970.41666666667,0.891121932213756
14,"July",1970,7,0,0,5,0,10,1,0,1,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100197019055486,1970.5,0.88991721935433
15,"August",1970,8,2,0,0,0,0,0,5,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0820000022649765,0.0100199626758695,1970.58333333333,0.891110992247055
16,"September",1970,9,1,1,0,0,2,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0810000002384186,0.0100194215774536,1970.66666666667,0.889919960184735
18,"November",1970,11,2,0,0,0,1,0,0,0,3.80900001525879,2.29200005531311,7.9520001411438,14489,0.0820000022649765,0.0100199626758695,1970.83333333333,0.891110992247055
20,"January",1971,1,1,0,0,0,0,0,0,1,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.100000001490116,0.0101100308820605,1971,0.908182472893222
21,"February",1971,2,9,0,2,2,1,0,0,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.126000002026558,0.0101051460951567,1971.08333333333,0.925754857662548
22,"March",1971,3,4,0,1,0,9,0,2,2,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.126000002026558,0.0101088769733906,1971.16666666667,0.925729481811437
23,"April",1971,4,0,0,0,0,4,0,1,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.126000002026558,0.0101102879270911,1971.25,0.925719885465426
24,"May",1971,5,2,1,1,0,0,0,0,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.127000004053116,0.0101061752066016,1971.33333333333,0.926289425748947
25,"June",1971,6,0,0,0,0,2,1,1,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.123000003397465,0.0101102879270911,1971.41666666667,0.924045783188621
26,"July",1971,7,3,0,2,0,0,0,0,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.127000004053116,0.0101087428629398,1971.5,0.926272078986114
27,"August",1971,8,9,0,23,2,3,0,2,0,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.129999995231628,0.0100975753739476,1971.58333333333,0.927924693266981
28,"September",1971,9,11,2,2,2,9,0,23,2,4.08599996566772,4.11399984359741,7.66200017929077,17146,0.128000006079674,0.0100986054167151,1971.66666666667,0.926873954000767
