d3mIndex,log(wdi.pop),log(xxxcimr),wdi.gdpchg.s,sqrt(wdi.cpi),log1p(bnn.yroff),elceleth.c,dispota4.c,cir.physint,I(cir.physint^2),nvc.start.1
50,17.028805036053978,1.6366102870715569,3.34294334638481,8.434510910053985,1.6094379124341005,0.0,0.0,4.0,16.0,0.0
51,17.059324116597708,1.6903328981570371,2.3567217999868,8.735111772478925,1.791759469228055,0.0,0.0,4.0,16.0,0.0
52,17.086950103886217,1.686662661685076,3.70677824634435,9.098066108730169,1.9459101490553128,0.0,0.0,4.0,16.0,0.0
53,17.11253919500878,1.6839349368914447,1.90036007374024,10.395508646048881,2.079441541679836,0.0,0.0,3.0,9.0,0.0
54,17.137238487055225,1.7006657398016598,4.584828101383692,9.95566968178779,2.19722457733622,0.0,0.0,4.0,16.0,0.0
91,14.999318409362026,0.13237566530391373,-5.439576975593411,2.2617728446608534,1.9459101490553128,0.0,0.0,4.0,16.0,0.0
92,14.993254062100007,0.25260371133154663,-2.68328157299978,4.083771148985947,0.0,0.0,1.0,6.0,36.0,0.0
93,14.987152404172704,0.28682301857063275,3.09838667696598,5.554600611019867,0.6931471805599453,0.0,1.0,6.0,36.0,0.0
94,14.98101359910341,0.4117034315097449,2.8809720581775897,6.149448457072438,1.0986122886681096,0.0,1.0,7.0,49.0,0.0
95,14.974836562519041,0.26910973637689617,3.64691650576208,6.384573418887122,1.3862943611198906,0.0,1.0,4.0,16.0,0.0
96,14.968621448528864,0.14009140027185846,3.01662062579966,6.778645585721768,1.6094379124341005,0.0,1.0,4.0,16.0,0.0
97,14.962367147559867,0.09601668099175813,-3.19374388453426,7.822811770043351,0.0,0.0,0.0,4.0,16.0,0.0
98,14.956073803634608,-0.1820528960064962,3.5637059362410897,8.59238425399092,0.6931471805599453,0.0,0.0,5.0,25.0,0.0
99,14.949740280894735,-0.3657307615025167,3.17804971641414,8.60909898625039,1.0986122886681096,0.0,0.0,5.0,25.0,0.0
100,14.943366712555301,-0.3540632251615648,2.7018512172212703,8.611251772522737,1.3862943611198906,0.0,0.0,3.0,9.0,0.0
101,14.935268036340478,-0.24870431265543036,2.64575131106457,8.74402924511961,1.6094379124341005,0.0,0.0,6.0,36.0,0.0
102,14.931119908019548,-0.4515001576438426,1.7029386365926498,9.077402699462393,0.0,0.0,0.0,6.0,36.0,0.0
103,14.925280039693375,-0.5007399278176649,2.3874672772626604,9.099343615932074,0.6931471805599453,0.0,0.0,5.0,25.0,0.0
104,14.918970743235981,-0.6039516017933411,2.42899156029824,9.202492366167363,1.0986122886681096,0.0,0.0,6.0,36.0,0.0
105,14.91169456741403,-0.594847461883374,2.34520787991168,9.310747884469396,1.3862943611198906,0.0,0.0,7.0,49.0,0.0
106,14.903408317187171,-0.591649537918531,2.2360679774998102,9.420467672483426,1.6094379124341005,0.0,0.0,6.0,36.0,0.0
107,14.894219414255545,-0.6978377163435523,2.42899156029822,9.557605684977682,0.0,0.0,0.0,7.0,49.0,0.0
108,14.884542634161642,-0.6134537513539549,2.7748873851023297,9.71681127544655,0.6931471805599453,0.0,0.0,7.0,49.0,0.0
109,14.874793834281624,-0.5092619018499641,1.81659021245849,9.826982749022376,1.0986122886681096,0.0,0.0,7.0,49.0,0.0
129,16.81642592604687,0.1097951127113115,1.7320496724517,2.6567038393846123,1.0986122886681096,1.0,1.0,7.0,49.0,0.0
130,16.848854943874432,0.11552031371972155,2.52982294843934,2.7422345898482865,1.3862943611198906,1.0,1.0,8.0,64.0,0.0
131,16.881388012175254,0.10122035797043144,2.32379065700833,2.822865982497492,1.6094379124341005,1.0,1.0,7.0,49.0,0.0
