d3mIndex,log(wdi.pop),wdi.popurb.mi,ythbul4,log1p(bnk.unrest),log1p(bnk.strikes),log1p(nvc.dosregt),nvc.ongoing,civilwar,nvc.start.1
5,15.987353507615952,8.221,0.1934649984,0.0,0.0,0.0,0,0,0.0
6,16.007559989526207,8.508,0.1932048682,0.0,0.0,0.0,0,0,0.0
7,16.028366000991802,8.805,0.1939140811,0.0,0.0,0.0,0,0,0.0
8,16.049764025086006,9.11,0.1946204074,0.0,0.0,0.0,0,0,0.0
9,16.071751248473962,9.426,0.1953221957,0.0,0.0,0.0,0,0,0.0
10,16.094316658390046,9.75,0.1961114227,0.0,0.0,0.0,0,0,0.0
11,16.117107663058967,10.085,0.1953696925,0.0,0.0,0.0,0,0,0.0
12,16.140043231099465,10.43,0.1947330706,0.0,0.0,0.0,0,0,0.0
13,16.163620489750787,10.786,0.1943738498,0.0,0.0,0.6931471805599453,0,0,0.0
14,16.188478715678713,11.152,0.1937997773,0.0,0.0,0.0,0,0,0.0
15,16.214824914296234,11.529000000000002,0.1934809862,0.6931471805599453,0.0,0.0,0,0,0.0
16,16.242386001375,11.917,0.1920475841,0.0,0.0,0.0,0,0,0.0
17,16.27033396051349,12.316,0.191043354,0.0,0.0,0.0,0,0,0.0
18,16.297609269180047,12.726,0.1901664731,0.0,0.0,0.0,0,0,0.0
19,16.322960275954202,13.149,0.1897307925,0.0,0.0,0.0,0,0,0.0
20,16.345373842853522,13.583,0.1898415519,0.0,0.0,0.6931471805599453,0,0,0.0
21,16.365487618661398,14.029000000000002,0.1890753251,0.0,0.0,0.0,0,0,0.0
22,16.383107177564117,14.487,0.1887452689,0.0,0.0,1.0986122886681096,0,0,0.0
23,16.39569685678751,14.958,0.1887165021,0.0,0.0,0.0,0,1,0.0
24,16.40004592801083,15.435,0.1892764405,0.0,0.0,0.0,0,1,0.0
25,16.394243787566182,15.681,0.1902580008,0.6931471805599453,1.0986122886681096,0.0,0,1,0.0
26,16.377670490132388,15.93,0.1897883295,1.0986122886681096,0.0,0.0,0,1,0.0
27,16.351941250515367,16.182000000000002,0.1897169604,0.0,0.0,0.0,0,1,0.0
28,16.320377338983928,16.437,0.19,0.0,0.0,0.6931471805599453,0,1,0.0
29,16.288193214920895,16.695999999999998,0.1904577792,0.0,0.0,0.0,0,1,0.0
30,16.260374163243892,16.958,0.191049505,0.0,0.0,0.0,0,1,0.0
31,16.236983764679845,17.223,0.1907533139,1.0986122886681096,0.0,1.0986122886681096,0,1,0.0
32,16.219126436849514,17.491,0.191168021,0.0,0.0,0.6931471805599453,0,1,0.0
33,16.214618277270414,17.762999999999995,0.1918236407,0.0,0.0,0.0,0,1,0.0
34,16.232791526235044,18.038,0.1920257753,0.0,0.0,0.0,0,1,0.0
35,16.27776192048789,18.316,0.1909914058,0.0,0.0,1.0986122886681096,0,1,0.0
36,16.350162709092597,18.597,0.1907604833,0.0,0.0,0.0,0,1,0.0
37,16.44103935975117,18.882,0.1904084798,0.0,0.0,0.0,0,1,0.0
38,16.535181311484457,19.17,0.1898786137,0.0,0.0,0.0,0,1,0.0
39,16.6179625263891,19.462,0.189554813,0.0,0.0,0.0,0,1,0.0
40,16.682617839941695,19.757,0.1899444164,0.0,0.0,0.0,0,1,0.0
41,16.728692778914304,20.055,0.1892675852,0.0,0.0,0.0,0,1,0.0
42,16.761066071468935,20.356,0.1888351566,0.0,0.0,0.0,0,1,0.0
43,16.785762753958725,20.661,0.1889021699,0.0,0.0,0.0,0,1,0.0
44,16.810596172479368,20.97,0.18931077920000006,0.0,0.0,0.0,0,1,0.0
45,16.840576365670408,21.282,0.1899719986,0.0,0.0,0.0,0,1,0.0
46,16.876458404654397,21.596,0.1900578621,0.0,0.0,0.6931471805599453,0,1,0.0
47,16.915729235251554,21.915,0.1907873377,0.6931471805599453,0.0,0.6931471805599453,0,1,0.0
48,16.95604171933224,22.237,0.1917909576,0.0,0.0,0.0,0,1,0.0
49,16.994342502169765,22.562,0.1930094032,1.0986122886681096,0.0,0.6931471805599453,0,1,0.0
50,17.028805036053978,22.895,0.1944595329,1.6094379124341005,0.0,0.6931471805599453,0,1,0.0
51,17.059324116597708,23.237,0.1955596214,0.6931471805599453,0.0,0.6931471805599453,0,1,0.0
52,17.086950103886217,23.587,0.1967679956,0.6931471805599453,0.0,1.0986122886681096,0,1,0.0
53,17.11253919500878,23.946,0.1981903485,0.6931471805599453,0.0,0.0,0,1,0.0
54,17.137238487055225,24.313,0.199980378,0.6931471805599453,0.0,0.6931471805599453,0,1,0.0
