d3mIndex,log(wdi.pop),wdi.popurb.mi,I(wdi.manuf.mi + wdi.servs.mi),wdi.sch2.mi,log1p(wdi.mobp100),ios.gattwto,nvc.start.1
5,15.987353507615952,8.221,42.6803642903969,-17.711489294609102,0.0,0.0,0.0
6,16.007559989526207,8.508,20.454111843786087,-8.16385428752571,0.0,0.0,0.0
7,16.028366000991802,8.805,51.5165372719861,8.9330310665427,0.0,0.0,0.0
8,16.049764025086006,9.11,42.858180288347505,-2.9986748806709804,0.0,0.0,0.0
9,16.071751248473962,9.426,63.117722661231596,-12.830283964880099,0.0,0.0,0.0
10,16.094316658390046,9.75,61.287482303720395,2.90556609941643,0.0,0.0,0.0
11,16.117107663058967,10.085,51.1417683469734,2.62622856463538,0.0,0.0,0.0
12,16.140043231099465,10.43,49.90279127588282,7.720219692254009,0.0,0.0,0.0
13,16.163620489750787,10.786,77.1541053259574,-1.36208182657953,0.0,0.0,0.0
14,16.188478715678713,11.152,39.86011339099336,-5.9867816252292085,0.0,0.0,0.0
15,16.214824914296234,11.529000000000002,43.56741434632346,8.28528,0.0,0.0,0.0
16,16.242386001375,11.917,19.949202882596442,9.29276,0.0,0.0,0.0
17,16.27033396051349,12.316,55.5578492571342,10.2739,0.0,0.0,0.0
18,16.297609269180047,12.726,55.36304880381111,10.74194,0.0,0.0,0.0
19,16.322960275954202,13.149,22.096724500630067,10.87678,0.0,0.0,0.0
20,16.345373842853522,13.583,49.60508085302183,10.9257,0.0,0.0,0.0
21,16.365487618661398,14.029000000000002,54.137294265997895,11.8062,0.0,0.0,0.0
22,16.383107177564117,14.487,68.85173819267919,12.63445,0.0,0.0,0.0
23,16.39569685678751,14.958,69.3957692909733,13.29642,0.0,0.0,0.0
24,16.40004592801083,15.435,59.732930054503406,2.54608636217456,0.0,0.0,0.0
25,16.394243787566182,15.681,31.8946187164005,16.76306,0.0,0.0,0.0
26,16.377670490132388,15.93,60.416169525072,19.36447,0.0,0.0,0.0
27,16.351941250515367,16.182000000000002,50.4868662204988,10.64174,0.0,0.0,0.0
28,16.320377338983928,16.437,56.465548517238105,-8.30699736456459,0.0,0.0,0.0
29,16.288193214920895,16.695999999999998,38.73242626305943,12.5202,0.0,0.0,0.0
30,16.260374163243892,16.958,47.87869804042953,13.31974,0.0,0.0,0.0
31,16.236983764679845,17.223,30.2445263111376,12.38183,0.0,0.0,0.0
32,16.219126436849514,17.491,37.00523795709334,31.1812638500385,0.0,0.0,0.0
33,16.214618277270414,17.762999999999995,35.5316367254524,13.68522,0.0,0.0,0.0
34,16.232791526235044,18.038,48.91558697124647,13.17247,0.0,0.0,0.0
35,16.27776192048789,18.316,61.3668277688811,11.31229,0.0,0.0,0.0
36,16.350162709092597,18.597,53.12378054936891,16.249370000000006,0.0,0.0,0.0
37,16.44103935975117,18.882,29.53569632793121,-8.314829200223679,0.0,0.0,0.0
38,16.535181311484457,19.17,34.3906068464151,16.00279,0.0,0.0,0.0
39,16.6179625263891,19.462,58.043107149285106,22.19071,0.0,0.0,0.0
40,16.682617839941695,19.757,46.80650001370871,21.49963,0.0,0.0,0.0
41,16.728692778914304,20.055,41.64406384039731,-0.106396980481243,0.0,0.0,0.0
42,16.761066071468935,20.356,60.004433673534095,10.960885685307801,0.0,0.0,0.0
43,16.785762753958725,20.661,46.164085318443796,-1.48821615764794,0.0,0.0,0.0
44,16.810596172479368,20.97,54.345094135869964,-0.21313248188504,0.0,0.0,0.0
45,16.840576365670408,21.282,53.4456839950342,-6.75954983954345,0.0,0.0,0.0
46,16.876458404654397,21.596,36.993713564624926,12.77722,0.0,0.0,0.0
47,16.915729235251554,21.915,56.56080634866081,14.7931335480614,0.10669816313316008,0.0,0.0
48,16.95604171933224,22.237,56.3939605704335,13.18077,0.6233662899869418,0.0,0.0
49,16.994342502169765,22.562,60.89491202209229,18.44838,1.2522072346714566,0.0,0.0
50,17.028805036053978,22.895,57.82632047670069,19.44068,1.7624791829105049,0.0,0.0
