d3mIndex,sftpcons,sftptv2a3,sftptv2a4,sftptv2a5,sftptv2a2,sftptv2a6,logim,maccat,disp4cat,stratidc
0,0,0,0,0,0,0,0.6600168000000001,0,0,195751
1,0,0,0,0,0,0,0.6178020000000001,0,0,197051
2,1,0,0,0,0,0,0.805741,0,0,197851
3,0,0,0,0,0,0,0.5344306999999999,0,0,197431
4,1,0,1,0,0,0,0.6415309,0,1,199631
5,0,0,0,0,0,0,0.1644654,0,1,197051
6,0,0,0,0,0,0,0.2091153,0,1,197751
7,0,0,0,0,0,0,0.1580342,0,1,198051
8,1,1,0,0,0,0,0.1624187,0,1,199151
9,1,1,0,0,0,0,-0.6123858,0,1,196641
10,0,0,0,0,0,0,-0.5369805999999999,0,1,197041
11,1,0,1,0,0,0,-0.5069405,0,1,197641
12,0,0,0,1,0,0,-0.6141251999999999,0,0,199941
13,1,0,0,1,0,0,-0.2998543,1,0,199531
14,0,0,0,0,1,0,-1.510712,0,1,195821
15,0,0,0,0,1,0,-1.462394,0,1,196121
16,0,0,0,0,1,0,-1.728128,0,1,196521
17,0,0,0,0,1,0,-1.6841700000000002,0,0,196921
18,0,0,0,0,1,0,-1.727345,0,0,197121
19,0,0,0,0,1,0,-1.617192,0,0,197421
20,0,0,0,0,1,0,-1.806969,0,0,198921
21,0,0,0,0,1,0,-0.8198714,0,0,195831
22,0,0,0,0,1,0,-1.793766,0,0,199131
23,0,0,0,0,0,0,-0.30434570000000005,0,1,197551
24,0,0,0,0,1,0,-0.9265572,0,0,195631
25,0,0,0,0,1,0,-1.882907,0,0,199631
26,1,0,1,0,0,0,0.4749659000000001,0,0,196311
27,1,1,0,0,0,0,0.5491368000000001,0,0,197211
28,0,0,0,0,0,0,0.5076028,0,0,196311
29,0,0,0,0,0,0,0.5556024,0,0,196611
30,1,0,1,0,0,0,0.5835986,0,0,198011
31,0,0,0,0,0,0,0.7936245,0,0,198811
32,0,0,0,0,0,0,0.8375164,0,0,199111
33,0,0,0,0,0,0,0.6252307,0,1,195621
34,0,0,0,0,0,0,0.7152089,0,1,196021
35,0,0,0,0,0,0,0.4770022,0,1,196721
36,0,0,0,0,0,0,0.523699,0,1,197021
37,0,0,0,0,0,0,0.9634624,0,1,198921
38,0,0,0,0,0,0,1.111212,0,1,199621
39,1,0,1,0,0,0,-1.077559,0,0,199532
40,1,0,1,0,0,0,0.4785823,0,1,197421
41,0,0,1,0,0,0,0.6981723000000001,0,1,199721
42,0,1,0,0,0,0,0.2612031,0,0,196141
43,0,0,0,0,0,0,0.145558,0,0,197841
44,0,0,1,0,0,0,0.3378493,0,0,198441
45,0,0,0,1,0,0,-0.15262,0,0,198811
46,0,0,0,1,0,0,-0.2698067,0,0,199111
47,1,0,1,0,0,0,0.2970668,0,0,196141
48,0,0,0,0,0,0,0.0475644,0,0,197341
49,0,1,0,0,0,0,0.02568072,0,0,197841
50,0,0,0,1,0,0,0.04122272,0,0,199141
51,1,0,0,0,0,0,0.4224764,0,1,198811
52,0,0,0,0,0,0,-0.7698726,0,1,196731
53,0,0,0,0,0,0,0.8051489000000001,0,0,195821
54,0,0,0,0,0,0,0.5820814000000001,0,0,196521
55,1,0,0,0,0,0,0.6544135,0,0,197021
56,1,0,1,0,0,0,0.8480173000000001,0,1,199721
57,0,1,0,0,0,0,0.8980461999999999,0,1,200021
58,0,0,0,0,1,0,-1.189167,0,1,195631
59,0,0,0,0,1,0,-1.933073,0,0,199831
60,0,0,0,0,0,0,0.1580043,0,0,196211
61,0,0,0,0,0,0,0.08799262,0,0,196511
62,0,0,0,0,0,0,0.299736,0,0,197711
63,0,0,0,0,0,0,0.31360770000000004,0,0,198011
64,0,0,0,0,0,0,0.4916723,0,0,198411
65,0,0,0,0,0,0,0.5679192,0,1,199011
66,0,1,0,0,0,0,0.6846572,0,1,199411
67,0,1,0,0,0,0,0.6740748000000001,0,1,199711
68,0,1,0,0,0,0,0.812301,0,1,200211
69,0,0,0,0,0,0,0.3005122,0,0,196311
70,0,0,0,0,0,0,0.3516262,0,0,197211
71,0,0,0,0,0,0,0.4373759,0,0,198011
72,0,0,0,0,0,0,0.6286086,0,0,198811
73,0,0,0,0,0,0,0.7129890999999999,0,0,199111
74,0,0,1,0,0,0,0.938324,1,0,199511
75,1,0,1,0,0,0,1.152331,0,0,200311
76,1,0,0,0,0,0,0.4478989,0,1,196511
77,0,1,0,0,0,0,1.17406,0,0,200311
78,0,0,1,0,0,0,-0.05192761,0,0,196841
79,1,0,1,0,0,0,-0.2119855,0,0,197341
80,1,0,0,0,0,0,0.03442023,0,1,195621
81,1,0,0,0,0,0,-0.2325333,1,1,196621
82,1,0,0,0,0,0,-0.1764564,1,0,198821
83,0,0,0,1,0,0,-0.02268528,0,1,196641
84,0,0,0,1,0,0,-0.189242,0,1,197841
85,1,0,0,1,0,0,-0.2004921,0,1,198441
86,0,0,0,0,0,0,0.4346837000000001,0,0,198111
87,0,0,0,0,0,0,0.7247439,0,0,199011
88,1,0,1,0,0,0,0.9314444,0,0,199511
89,1,0,1,0,0,0,0.3548104,0,0,196312
90,0,0,0,0,0,0,0.4532923,0,1,197211
91,0,0,0,0,0,0,0.8478535,0,1,199011
92,1,0,1,0,0,0,0.9858544,0,0,199711
93,0,0,0,0,1,0,-0.15758339999999998,0,0,196641
94,0,0,0,0,1,0,-0.3859523,0,0,197341
