"d3mIndex","gid","year","bdist1","capdist","droughtend_speibase","droughtend_speigdm","droughtend_spi","droughtstart_speibase","droughtstart_speigdm","droughtstart_spi","droughtyr_speibase","droughtyr_speigdm","droughtyr_spi","excluded","gwno","nlights_calib_mean","prec_gpcc","prec_gpcp","temp","cmr_mean","civconf"
1,123559,2001,40.68724,425.2082,-1.304785,-0.1371462,0.509962,-0.1973514,-0.7973783,-0.0292991,0.08333334,0.08333334,0.08333334,0,501,0.0221215,139.9625,558.4438,25.66083,21.1,0
2,123559,2002,40.68724,425.2082,-0.7504067,-1.12835,-0.538023,-0.6735106,0.2996568,0.175691,0,0,0,0,501,0.03357825,223.315,804.1234,25.98917,21.1,0
3,123559,2003,40.68724,425.2082,0.1957667,-0.8988444,-0.504549,-0.7909576,-0.04961408,-0.577079,0,0.08333334,0.08333334,0,501,0.03610721,112.3175,423.3613,26.15833,21.1,0
4,123559,2004,40.68724,425.2082,-0.8189361,-1.322219,-0.199774,0.2733458,-1.432238,-0.964876,0,0.1666667,0.1666667,0,501,0.03788611,168.525,652.7094,26.06667,21.1,0
5,123559,2005,40.68724,425.2082,-0.5781049,-1.055177,-1.06529,0.2586356,-0.3025199,0.0202176,0,0,0.08333334,0,501,0.03369111,137.2675,404.9626,25.67584,21.1,0
6,123559,2006,40.68724,425.2082,0.2026506,0.9771545,-0.101554,-0.1364256,0.6668564,0.793282,0,0,0,0,501,0.03494464,351,1059.232,26.04083,21.1,0
7,123559,2007,40.68724,425.2082,-1.091769,1.172611,0.314073,0.875688,-0.3991163,0.0260426,0,0.08333334,0.08333334,0,501,0.04311448,232.5725,661.726,25.92583,21.1,0
8,123559,2008,40.68724,425.2082,-0.8461407,-0.3428313,0.544247,0.990119,1.378404,0.915712,0.1666667,0.08333334,0,0,501,0.04158841,169.3375,542.0751,25.85417,21.1,0
9,124279,2001,85.66266,384.2111,-1.233503,0.1201804,0.509962,-0.1824151,-0.246874,-0.0292991,0.08333334,0,0.08333334,0,501,0.02239463,132.165,558.4438,25.8275,21.1,0
10,124279,2002,85.66266,384.2111,-0.4684484,-1.326489,-0.538023,-0.5094515,0.2844,0.175691,0,0.08333334,0,0,501,0.03420302,182.6525,804.1234,26.04416,21.1,0
11,124279,2003,85.66266,384.2111,0.5389164,-1.018217,-0.504549,-0.7920378,-0.1169324,-0.577079,0,0.08333334,0.08333334,0,501,0.03668252,72.9475,423.3613,26.25583,21.1,0
12,124279,2004,85.66266,384.2111,-0.5124083,-0.9812935,-0.199774,0.3641819,-1.560379,-0.964876,0,0.08333334,0.1666667,0,501,0.038098,139.075,652.7094,26.07166,21.1,0
13,124279,2005,85.66266,384.2111,-0.4286727,-1.196544,-1.06529,0.3579644,-0.2919712,0.0202176,0,0,0.08333334,0,501,0.03387469,83.51,404.9626,25.8225,21.1,0
14,124279,2006,85.66266,384.2111,0.2689672,1.033242,-0.101554,0.02802332,0.4912793,0.793282,0,0.08333334,0,0,501,0.03568706,282.0375,1059.232,26.08416,21.1,0
15,124279,2007,85.66266,384.2111,-0.8626356,1.055817,0.314073,0.6562049,-0.5960333,0.0260426,0,0.08333334,0.08333334,0,501,0.04346934,174.42,661.726,26.0525,21.1,0
16,124279,2008,85.66266,384.2111,-0.6104785,-0.2169724,0.544247,1.113435,1.345051,0.915712,0.08333334,0.08333334,0,0,501,0.04191485,114.31,542.0751,25.965,21.1,0
17,124280,2001,117.9904,425.2073,-1.199893,0.4310473,-1.31415,-0.422104,0.1219305,-0.876697,0.08333334,0,0.08333334,0,501,0.041247,200.6275,558.4438,26.36833,21.1,0
18,124280,2002,117.9904,425.2073,-1.234301,-1.599646,1.10482,-0.5036718,-0.1487371,-0.464695,0,0,0,0,501,0.04782254,247.7575,804.1234,26.67834,21.1,0
19,124280,2003,117.9904,425.2073,0.4725639,-0.1721496,-0.300634,-0.8339186,-0.9505453,-1.85959,0,0,0.08333334,0,501,0.05140647,168.1775,423.3613,26.675,21.1,0
20,124280,2004,117.9904,425.2073,-0.8845275,-1.724166,-1.51666,0.1241883,-0.4532684,-0.370951,0,0.08333334,0.1666667,0,501,0.05962364,162.5125,652.7094,26.70166,21.1,0
21,124280,2005,117.9904,425.2073,-0.1015571,-1.248018,-1.34582,-0.4524052,-0.4331976,-0.380446,0,0,0.08333334,0,501,0.05605439,149.2575,404.9626,26.2775,21.1,0
22,124280,2006,117.9904,425.2073,-0.05513382,0.1520683,0.580138,1.053397,1.350018,0.586504,0,0.1666667,0,0,501,0.05735061,378.15,1059.232,26.665,21.1,0
23,124280,2007,117.9904,425.2073,-0.8007702,1.556833,0.508663,-0.2634473,-0.7163648,-1.61954,0,0.08333334,0.08333334,0,501,0.06134622,270.5325,661.726,26.52666,21.1,0
24,124280,2008,117.9904,425.2073,-1.047245,0.5729894,0.357471,-0.1017244,-0.9648965,0.567495,0.1666667,0,0,0,501,0.06002327,193.7675,542.0751,26.525,21.1,0
25,124996,2001,4.445116,240.9742,-1.721046,-0.6091582,0.509962,0.3379305,0.50793,-0.0292991,0.1666667,0,0.08333334,0,501,0.02791761,209.065,558.4438,22.8225,21.48889,0
26,124996,2002,4.445116,240.9742,-0.2275733,-0.5816683,-0.538023,-1.400518,0.4879462,0.175691,0.08333334,0.08333334,0,0,501,0.03954234,217.58,804.1234,22.91,21.48889,0
27,124996,2003,4.445116,240.9742,0.6341395,-0.3392714,-0.504549,-0.3238181,-0.3584338,-0.577079,0,0,0.08333334,0,501,0.0400725,98.5125,423.3613,23.52667,21.48889,0
28,124996,2004,4.445116,240.9742,0.1976966,-0.4450018,-0.199774,0.334749,-0.2803367,-0.964876,0,0,0.1666667,0,501,0.04360758,196.2425,652.7094,23.0075,21.48889,0
29,124996,2005,4.445116,240.9742,-0.3110818,0.6048213,-1.06529,0.3411067,0.1827855,0.0202176,0,0,0.08333334,0,501,0.03776345,121.405,404.9626,23.3525,21.48889,0
30,124996,2006,4.445116,240.9742,0.3713617,0.003257949,-0.101554,0.6843374,0.3044182,0.793282,0,0.08333334,0,0,501,0.03860181,285.82,1059.232,23.06583,21.48889,0
31,124996,2007,4.445116,240.9742,-0.9953329,-0.7151874,0.314073,-0.05843976,0.1820235,0.0260426,0,0,0.08333334,0,501,0.0447589,135.6125,661.726,23.38333,21.48889,0
32,124996,2008,4.445116,240.9742,-0.663291,0.4181911,0.544247,1.643333,0.7030667,0.915712,0.08333334,0.1666667,0,0,501,0.04270516,178.735,542.0751,23.01584,21.48889,0
33,124999,2001,130.6945,347.1956,0.3389248,0.4244072,0.467889,-1.220183,-0.8997121,-1.34767,0.08333334,0,0.08333334,0,501,0.02109117,107.715,558.4438,26.35,21.15944,0
34,124999,2002,130.6945,347.1956,1.202827,0.5367648,-1.37423,1.41898,1.216206,1.14145,0,0,0,0,501,0.03279205,162.9525,804.1234,26.42583,21.15944,0
35,124999,2003,130.6945,347.1956,-0.4812013,-0.436853,1.00961,0.1658936,0.03040581,-0.248453,0,0.08333334,0.08333334,0,501,0.03547943,57.535,423.3613,26.72167,21.15944,0
36,124999,2004,130.6945,347.1956,0.4414282,0.05880892,-0.161783,1.461632,1.3025,0.973738,0,0.08333334,0.1666667,0,501,0.03646969,135.7675,652.7094,26.37083,21.15944,0
37,124999,2005,130.6945,347.1956,0.03618934,-1.193982,0.146558,0.7126741,-0.8005746,-0.670928,0,0.08333334,0.08333334,0,501,0.032026,51.495,404.9626,26.39083,21.15944,0
38,124999,2006,130.6945,347.1956,0.6395213,1.522844,-0.212464,0.6367713,1.467463,1.05319,0,0.08333334,0,0,501,0.03368577,219.415,1059.232,26.41417,21.15944,0
39,124999,2007,130.6945,347.1956,0.2058113,-0.4679749,0.361166,0.4810573,0.4237863,0.190374,0,0.08333334,0.08333334,0,501,0.04198303,126.0475,661.726,26.5175,21.15944,0
40,124999,2008,130.6945,347.1956,-0.03803871,-1.805531,-1.68215,-0.1622934,-1.741628,-0.317604,0.08333334,0.1666667,0,0,501,0.04069072,88.625,542.0751,26.36917,21.15944,0
41,125000,2001,162.9498,392.0992,-1.398662,0.5479074,-1.31415,-0.909397,-0.07105046,-0.876697,0.08333334,0.08333334,0.08333334,0,501,0.02236588,158.9725,558.4438,26.7125,21.1,0
42,125000,2002,162.9498,392.0992,-0.4803451,-1.787045,1.10482,-0.5827878,-0.4830458,-0.464695,0,0.08333334,0,0,501,0.03364446,198.9775,804.1234,26.93,21.1,0
43,125000,2003,162.9498,392.0992,0.5572488,-0.1148525,-0.300634,-0.5740718,-1.178819,-1.85959,0,0.08333334,0.08333334,0,501,0.03644064,149.0825,423.3613,26.93833,21.1,0
