"d3mIndex","time","woreda_wikidata","woreda_label","zone_wikidata","zone_label","region_wikidata","region_label","country_wikidata","country_label","Prices_of_Domestic_sheep__retail_","Prices_of_Gasoline__retail_","Prices_of_Maize__retail_","Prices_of_Maize__wholesale_","Cholera_AWD_Cases_ratio_per_1000","Dysentery_total_Cases_ratio_per_1000","Malnutrition_total_Cases_ratio_per_1000","Total_Malaria_Confirmed_and_Clinical_ratio_per_1000","Typhoid_fever_OutP_Cases_ratio_per_1000","precipitation_height","X2_year_flood_flood_duration_in_a_month","Total_Population","Unemployment_rate"
1,"2017-01-01","Q741581","Seden Sodo","Q5248635","Debub Mirab Shewa Zone","Q202107","Oromia Region","Q115","Ethiopia",755.801240755751,16.61,8.2113545296521,471.513839613046,0,0.072238676,0.08668642,0,0,3.903732923,0,69215,0.671728971962617
2,"2017-01-01","Q5621831","Guto Gida","Q1109870","Misraq Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",758.104389034236,16.61,8.25842754894717,476.131976203031,0,0.11122728,0.022245456,0.5116455,0.5783819,1.804780136,0,89906,0.626410396078126
3,"2017-01-01","Q3434318","Robe","Q646859","Arsi Zone","Q202107","Oromia Region","Q115","Ethiopia",766.948406409389,16.61,8.13199692624357,469.752262038831,0,0.04842322,0.10895224,0.018158708,0.46002057,8.058703512,0,165210,1.58333880822548
4,"2017-01-01","Q5559484","Gidami","Q6385564","Kelem Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",774.530392556534,16.61,8.25286457881857,475.112324764082,0,0.06984541,0.06984541,0.37250885,0.51219964,2.601579805,0,85904,0.567041965199591
5,"2017-01-01","Q3109573","Goba","Q804883","Bale Zone","Q202107","Oromia Region","Q115","Ethiopia",808.264856675343,16.61,8.09433319319007,469.564217129975,0,0.049071323,0.14721397,0,0.12267831,8.462511727,0,40757,1.85998828353837
6,"2017-01-01","Q960789","Ginir","Q804883","Bale Zone","Q202107","Oromia Region","Q115","Ethiopia",805.142156793584,16.61,8.0605357452257,470.301064239805,0,0.057349727,0.16488045,0,0,3.867051621,0,139495,3.17793938374879
7,"2017-01-01","Q2374856","Tole","Q5248635","Debub Mirab Shewa Zone","Q202107","Oromia Region","Q115","Ethiopia",750.019914547555,16.61,8.21578530575693,472.065622744425,0,0.34978932,0.03179903,0.3338898,0.15899515,3.904096055,0,62895,0.717439293598234
8,"2017-01-01","Q16964887","Harena Buluk","Q804883","Bale Zone","Q202107","Oromia Region","Q115","Ethiopia",821.054900690565,16.61,8.10127738938987,469.407898194997,0,0.02454078,0.29448938,0,0.036811173,4.812055442,0,81497,0.463926574215713
9,"2017-01-01","Q3349300","Odo Shakiso","Q5617057","Guji Zone","Q202107","Oromia Region","Q115","Ethiopia",828.364570642006,16.61,8.1216974636927,469.777675676766,0,0,0.043610565,0.32465646,0,1.696116782,0,206372,2.63887328164213
10,"2017-01-01","Q5275497","Diga","Q1109870","Misraq Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",762.873210496438,16.61,8.25451164051301,475.551362770735,0,0.059979904,0.16494474,0.5398192,0.23991962,0.762669678,0,66689,1.57358921878738
11,"2017-01-01","Q3016116","Darimu","Q768586","Illubabor Zone","Q202107","Oromia Region","Q115","Ethiopia",773.300833870454,16.61,8.24788797303118,474.770568813626,0,0.082718685,0.027572896,0.55145794,0.013786448,1.917951987,0,145070,0.416086909986086
12,"2017-01-01","Q7530072","Sire","Q646859","Arsi Zone","Q202107","Oromia Region","Q115","Ethiopia",742.085818558119,16.61,8.1707034189311,470.575128321971,0,0.027037987,0.13518994,0.14870894,0.29741788,6.713733619,0,73970,2.15802457750213
13,"2017-01-01","Q2382572","Doba","Q1109889","Mirab Hararghe Zone","Q202107","Oromia Region","Q115","Ethiopia",634.531379341251,16.61,8.16155189849194,472.451363759392,0,0.14932172,0.32850775,0.022398256,0,3.193487915,0,133939,1.65888615183201
14,"2017-01-01","Q5526420","Gasera","Q804883","Bale Zone","Q202107","Oromia Region","Q115","Ethiopia",783.127689459745,16.61,8.10097344314196,469.891641714557,0,0.025568908,0.012784454,0,0,5.951758585,0,78220,1.56141682897039
15,"2017-01-01","Q3552120","Uraga","Q5617057","Guji Zone","Q202107","Oromia Region","Q115","Ethiopia",817.870226784931,16.61,8.13822101005669,469.556378383896,0,0.062415596,0.47095406,0,1.6965693,9.082487273,0,176238,0.764938708885878
16,"2017-01-01","Q3178986","Jimma Arjo","Q1109870","Misraq Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",765.742936038508,16.61,8.24535127664058,474.602520825859,0,0.081085145,0.081085145,0.40542576,1.2510281,0.392199295,0,86329,1.26669328719109
17,"2017-01-01","Q3306658","Merti","Q646859","Arsi Zone","Q202107","Oromia Region","Q115","Ethiopia",724.204503698775,16.61,8.16743597146412,471.147761085535,0,0.17697549,0.26546323,0.5862313,1.2941333,5.748648831,0,90408,2.01065942104713
18,"2017-01-01","Q5586768","Goro","Q5248635","Debub Mirab Shewa Zone","Q202107","Oromia Region","Q115","Ethiopia",759.901695810464,16.61,8.22063856661727,472.175076277473,0,0.21984786,0.08793914,1.143209,0,2.467426693,0,45486,1.34249141429909
19,"2017-01-01","Q3337870","Nejo","Q1709377","Mirab Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",763.772145174769,16.61,8.26540437234713,476.30992971999,0,0.11458341,0,0.09930562,0.30555576,0.504499497,0,130909,1.75593292488256
20,"2017-01-01","Q5528474","Gawo Kebe","Q6385564","Kelem Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",770.558954522668,16.61,8.25704477098676,475.458459897735,0,0.09174874,0.5657838,1.880849,2.52309,1.950986643,0,65396,1.0910320240949
21,"2017-01-01","Q5242290","Dawe Kachen","Q804883","Bale Zone","Q202107","Oromia Region","Q115","Ethiopia",840.603177055812,16.61,8.03738064139278,470.329639336942,0,0,0.09724789,0,0,3.477225278,0,30849,1.48490142251061
22,"2017-01-01","Q3041004","Dugda","Q1109846","Misraq Shewa Zone","Q202107","Oromia Region","Q115","Ethiopia",757.024068685801,16.61,8.19015759389401,470.276994970293,0,0.35884342,0.19322339,1.594093,3.0363674,5.659620988,0,144910,3.72525861946298
23,"2017-01-01","Q5287998","Dodota","Q646859","Arsi Zone","Q202107","Oromia Region","Q115","Ethiopia",747.586679103412,16.61,8.17739406215357,470.432959600198,0,0,0.23324521,0.7619344,0.23324521,6.737683892,0,64310,4.65406840543495
