"d3mIndex","Region","Zone","Year","Date","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","WheatRetailPrice_li","MaizeProductionQuintal","WheatProductionQuintal","MaizeYieldQtHa","WheatYieldQtHa","Month"
1,"Afar","Afar Zone 1",2008,"2008-01",14.010387009,35332.18,336.4713,34995.71,"ETH","Ethiopia",461347.2,13.18296,NA,NA,NA,NA,NA,NA,1
2,"Afar","Afar Zone 1",2008,"2008-02",2.343149027875,35332.18,336.4713,34995.71,"ETH","Ethiopia",462223.1,13.20799,NA,NA,NA,NA,NA,NA,2
3,"Afar","Afar Zone 1",2008,"2008-03",3.537205040125,35332.18,336.4713,34995.71,"ETH","Ethiopia",463098.9,13.23302,NA,NA,NA,NA,NA,NA,3
4,"Afar","Afar Zone 1",2008,"2008-04",20.474360467875,35332.18,336.4713,34995.71,"ETH","Ethiopia",463974.8,13.25805,NA,NA,NA,NA,NA,NA,4
5,"Afar","Afar Zone 1",2008,"2008-05",17.01483356025,35332.18,336.4713,34995.71,"ETH","Ethiopia",464850.7,13.28307,NA,NA,NA,NA,NA,NA,5
6,"Afar","Afar Zone 1",2008,"2008-06",10.79653084425,35332.18,336.4713,34995.71,"ETH","Ethiopia",465726.5,13.3081,NA,NA,NA,NA,NA,NA,6
7,"Afar","Afar Zone 1",2008,"2008-07",71.71671906375,35332.18,336.4713,34995.71,"ETH","Ethiopia",466602.4,13.33313,NA,NA,NA,NA,NA,NA,7
8,"Afar","Afar Zone 1",2008,"2008-08",90.88721192125,35332.18,336.4713,34995.71,"ETH","Ethiopia",467478.3,13.35816,NA,NA,NA,NA,NA,NA,8
9,"Afar","Afar Zone 1",2008,"2008-09",41.84391858375,35332.18,336.4713,34995.71,"ETH","Ethiopia",468354.1,13.38318,NA,NA,NA,NA,NA,NA,9
10,"Afar","Afar Zone 1",2008,"2008-10",13.08305729275,35332.18,336.4713,34995.71,"ETH","Ethiopia",469230,13.40821,NA,NA,NA,NA,NA,NA,10
11,"Afar","Afar Zone 1",2008,"2008-11",29.892672778625,35332.18,336.4713,34995.71,"ETH","Ethiopia",470105.9,13.43324,NA,NA,NA,NA,NA,NA,11
12,"Afar","Afar Zone 1",2008,"2008-12",4.177060570625,35332.18,336.4713,34995.71,"ETH","Ethiopia",470981.7,13.45827,NA,NA,NA,NA,NA,NA,12
13,"Afar","Afar Zone 1",2009,"2009-01",20.237892030125,35332.18,336.4713,34995.71,"ETH","Ethiopia",471857.6,13.4833,NA,NA,NA,NA,NA,NA,1
14,"Afar","Afar Zone 1",2009,"2009-02",3.57051321625,35332.18,336.4713,34995.71,"ETH","Ethiopia",472733.5,13.50832,NA,NA,NA,NA,NA,NA,2
15,"Afar","Afar Zone 1",2009,"2009-03",11.180413376125,35332.18,336.4713,34995.71,"ETH","Ethiopia",473609.3,13.53335,NA,NA,NA,NA,NA,NA,3
16,"Afar","Afar Zone 1",2009,"2009-04",20.87326843625,35332.18,336.4713,34995.71,"ETH","Ethiopia",474485.2,13.55838,NA,NA,NA,NA,NA,NA,4
17,"Afar","Afar Zone 1",2009,"2009-05",4.3731772585,35332.18,336.4713,34995.71,"ETH","Ethiopia",475361.1,13.58341,NA,NA,NA,NA,NA,NA,5
18,"Afar","Afar Zone 1",2009,"2009-06",10.612129072375,35332.18,336.4713,34995.71,"ETH","Ethiopia",476236.9,13.60844,NA,NA,NA,NA,NA,NA,6
19,"Afar","Afar Zone 1",2009,"2009-07",84.1767834875,35332.18,336.4713,34995.71,"ETH","Ethiopia",477112.8,13.63346,NA,NA,NA,NA,NA,NA,7
20,"Afar","Afar Zone 1",2009,"2009-08",114.21644057125,35332.18,336.4713,34995.71,"ETH","Ethiopia",477988.7,13.65849,NA,NA,NA,NA,NA,NA,8
21,"Afar","Afar Zone 1",2009,"2009-09",14.01764777625,35332.18,336.4713,34995.71,"ETH","Ethiopia",478864.5,13.68352,NA,NA,NA,NA,NA,NA,9
22,"Afar","Afar Zone 1",2009,"2009-10",26.062280435,35332.18,336.4713,34995.71,"ETH","Ethiopia",479740.4,13.70855,NA,NA,NA,NA,NA,NA,10
23,"Afar","Afar Zone 1",2009,"2009-11",10.136100555875,35332.18,336.4713,34995.71,"ETH","Ethiopia",480616.3,13.73357,NA,NA,NA,NA,NA,NA,11
24,"Afar","Afar Zone 1",2009,"2009-12",7.93894894075,35332.18,336.4713,34995.71,"ETH","Ethiopia",481492.1,13.7586,NA,NA,NA,NA,NA,NA,12
25,"Afar","Afar Zone 1",2010,"2010-01",1.01327206425,35332.18,336.4713,34995.71,"ETH","Ethiopia",482368,13.78363,NA,NA,NA,NA,NA,NA,1
26,"Afar","Afar Zone 1",2010,"2010-02",27.323939095,35332.18,336.4713,34995.71,"ETH","Ethiopia",483284.6,13.80982,NA,NA,NA,NA,NA,NA,2
27,"Afar","Afar Zone 1",2010,"2010-03",37.083638647,35332.18,336.4713,34995.71,"ETH","Ethiopia",484201.3,13.83602,NA,NA,NA,NA,NA,NA,3
28,"Afar","Afar Zone 1",2010,"2010-04",74.3167827775,35332.18,336.4713,34995.71,"ETH","Ethiopia",485117.9,13.86221,NA,NA,NA,NA,NA,NA,4
29,"Afar","Afar Zone 1",2010,"2010-05",53.92334942625,35332.18,336.4713,34995.71,"ETH","Ethiopia",486034.5,13.8884,NA,NA,NA,NA,NA,NA,5
30,"Afar","Afar Zone 1",2010,"2010-06",5.9998971295,35332.18,336.4713,34995.71,"ETH","Ethiopia",486951.2,13.91459,NA,NA,NA,NA,NA,NA,6
31,"Afar","Afar Zone 1",2010,"2010-07",98.60770895875,35332.18,336.4713,34995.71,"ETH","Ethiopia",487867.8,13.94079,NA,NA,NA,NA,NA,NA,7
32,"Afar","Afar Zone 1",2010,"2010-08",224.9282449075,35332.18,336.4713,34995.71,"ETH","Ethiopia",488784.4,13.96698,NA,NA,NA,NA,NA,NA,8
33,"Afar","Afar Zone 1",2010,"2010-09",38.243354245,35332.18,336.4713,34995.71,"ETH","Ethiopia",489701.1,13.99317,NA,NA,NA,NA,NA,NA,9
34,"Afar","Afar Zone 1",2010,"2010-10",9.91441357725,35332.18,336.4713,34995.71,"ETH","Ethiopia",490617.7,14.01937,NA,NA,NA,NA,NA,NA,10
35,"Afar","Afar Zone 1",2010,"2010-11",6.080268838125,35332.18,336.4713,34995.71,"ETH","Ethiopia",491534.3,14.04556,NA,NA,NA,NA,NA,NA,11
36,"Afar","Afar Zone 1",2010,"2010-12",2.118654386875,35332.18,336.4713,34995.71,"ETH","Ethiopia",492451,14.07175,NA,NA,NA,NA,NA,NA,12
37,"Afar","Afar Zone 1",2011,"2011-01",2.890281892125,35332.18,336.4713,34995.71,"ETH","Ethiopia",493367.6,14.09794,NA,NA,NA,NA,NA,NA,1
38,"Afar","Afar Zone 1",2011,"2011-02",2.262574256625,35332.18,336.4713,34995.71,"ETH","Ethiopia",494284.2,14.12414,NA,NA,NA,NA,NA,NA,2
39,"Afar","Afar Zone 1",2011,"2011-03",22.707960530375,35332.18,336.4713,34995.71,"ETH","Ethiopia",495200.9,14.15033,NA,NA,NA,NA,NA,NA,3
40,"Afar","Afar Zone 1",2011,"2011-04",10.816188958,35332.18,336.4713,34995.71,"ETH","Ethiopia",496117.5,14.17652,NA,NA,NA,NA,NA,NA,4
41,"Afar","Afar Zone 1",2011,"2011-05",75.48638626375,35332.18,336.4713,34995.71,"ETH","Ethiopia",497034.1,14.20272,NA,NA,NA,NA,NA,NA,5
42,"Afar","Afar Zone 1",2011,"2011-06",4.10148568225,35332.18,336.4713,34995.71,"ETH","Ethiopia",497950.8,14.22891,NA,NA,NA,NA,NA,NA,6
43,"Afar","Afar Zone 1",2011,"2011-07",47.37346956375,35332.18,336.4713,34995.71,"ETH","Ethiopia",498867.4,14.2551,NA,NA,NA,NA,NA,NA,7
44,"Afar","Afar Zone 1",2011,"2011-08",151.7970213525,35332.18,336.4713,34995.71,"ETH","Ethiopia",499784,14.28129,NA,NA,NA,NA,NA,NA,8
45,"Afar","Afar Zone 1",2011,"2011-09",31.244926935,35332.18,336.4713,34995.71,"ETH","Ethiopia",500700.7,14.30749,NA,NA,NA,NA,NA,NA,9
46,"Afar","Afar Zone 1",2011,"2011-10",20.92917343625,35332.18,336.4713,34995.71,"ETH","Ethiopia",501617.3,14.33368,NA,NA,NA,NA,NA,NA,10
47,"Afar","Afar Zone 1",2011,"2011-11",9.178929343875,35332.18,336.4713,34995.71,"ETH","Ethiopia",502533.9,14.35987,NA,NA,NA,NA,NA,NA,11
48,"Afar","Afar Zone 1",2011,"2011-12",5.664892631875,35332.18,336.4713,34995.71,"ETH","Ethiopia",503450.6,14.38607,NA,NA,NA,NA,NA,NA,12
49,"Afar","Afar Zone 1",2012,"2012-01",6.877377578875,35332.18,336.4713,34995.71,"ETH","Ethiopia",504367.2,14.41226,NA,NA,NA,NA,NA,NA,1
50,"Afar","Afar Zone 1",2012,"2012-02",7.159863118625,35332.18,336.4713,34995.71,"ETH","Ethiopia",505283.8,14.43845,NA,NA,NA,NA,NA,NA,2
51,"Afar","Afar Zone 1",2012,"2012-03",24.524956147375,35332.18,336.4713,34995.71,"ETH","Ethiopia",506200.5,14.46464,NA,NA,NA,NA,NA,NA,3
52,"Afar","Afar Zone 1",2012,"2012-04",91.49589461,35332.18,336.4713,34995.71,"ETH","Ethiopia",507117.1,14.49084,NA,NA,NA,NA,NA,NA,4
