"d3mIndex","Region","Zone","Date","Year","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","un_wpp_pop_est_li","un_wpp_pop_dens_li","Maize_white_Retail_li","MaizeProductionQuintal","MaizeYieldQtHa","Month","Fertilizer_Area.HA","Fertilizer_Hectare","Fertilizer_Quintal","AnyAction","IndirectConflict","DirectConflict","Protest"
1,"Amhara","North Wello","2008-01",2008,13.696742578,12297.11,0,12297.11,"ETH","Ethiopia",1680005,136.6179,4.088889,91539.61,13.41,1,396716,326571,394196,0,0,0,0
2,"Amhara","North Wello","2008-02",2008,2.8824681921,12297.11,0,12297.11,"ETH","Ethiopia",1682839,136.8483,4.27901244444444,91539.61,13.41,2,396716,326571,394196,6,0,0,0
3,"Amhara","North Wello","2008-03",2008,5.9289376508,12297.11,0,12297.11,"ETH","Ethiopia",1685672,137.0788,4.46913588888889,91539.61,13.41,3,396716,326571,394196,4,0,0,0
4,"Amhara","North Wello","2008-04",2008,24.072855283,12297.11,0,12297.11,"ETH","Ethiopia",1688506,137.3092,4.65925933333333,91539.61,13.41,4,396716,326571,394196,0,0,0,0
5,"Amhara","North Wello","2008-05",2008,53.926369306,12297.11,0,12297.11,"ETH","Ethiopia",1691340,137.5397,4.84938277777778,91539.61,13.41,5,396716,326571,394196,15,0,0,0
6,"Amhara","North Wello","2008-06",2008,57.237961646,12297.11,0,12297.11,"ETH","Ethiopia",1694174,137.7701,5.03950622222222,91539.61,13.41,6,396716,326571,394196,0,0,0,0
7,"Amhara","North Wello","2008-07",2008,255.92488391,12297.11,0,12297.11,"ETH","Ethiopia",1697008,138.0006,5.22962966666667,91539.61,13.41,7,396716,326571,394196,0,0,0,0
8,"Amhara","North Wello","2008-08",2008,257.07498874,12297.11,0,12297.11,"ETH","Ethiopia",1699841,138.231,5.41975311111111,91539.61,13.41,8,396716,326571,394196,2,0,0,0
9,"Amhara","North Wello","2008-09",2008,81.896502208,12297.11,0,12297.11,"ETH","Ethiopia",1702675,138.4614,5.60987655555556,91539.61,13.41,9,396716,326571,394196,1,0,1,0
10,"Amhara","North Wello","2008-10",2008,29.91432362,12297.11,0,12297.11,"ETH","Ethiopia",1705509,138.6919,5.8,91539.61,13.41,10,396716,326571,394196,2,0,0,0
11,"Amhara","North Wello","2008-11",2008,50.01358487,12297.11,0,12297.11,"ETH","Ethiopia",1708342,138.9223,5.39,91539.61,13.41,11,396716,326571,394196,0,0,0,0
12,"Amhara","North Wello","2008-12",2008,7.1145652412,12297.11,0,12297.11,"ETH","Ethiopia",1711176,139.1528,5,91539.61,13.41,12,396716,326571,394196,0,0,0,0
13,"Amhara","North Wello","2009-01",2009,9.0495165882,12297.11,0,12297.11,"ETH","Ethiopia",1714010,139.3832,3.766667,114136.8,18.87,1,355508,295056,435691,0,0,0,0
14,"Amhara","North Wello","2009-02",2009,16.158260378,12297.11,0,12297.11,"ETH","Ethiopia",1716844,139.6136,3.78148177777778,114136.8,18.87,2,355508,295056,435691,0,0,0,0
15,"Amhara","North Wello","2009-03",2009,36.220170621,12297.11,0,12297.11,"ETH","Ethiopia",1719678,139.8441,3.79629655555556,114136.8,18.87,3,355508,295056,435691,0,0,0,0
16,"Amhara","North Wello","2009-04",2009,32.2760939064,12297.11,0,12297.11,"ETH","Ethiopia",1722511,140.0745,3.81111133333333,114136.8,18.87,4,355508,295056,435691,0,0,0,0
17,"Amhara","North Wello","2009-05",2009,9.8371066138,12297.11,0,12297.11,"ETH","Ethiopia",1725345,140.305,3.82592611111111,114136.8,18.87,5,355508,295056,435691,1,0,0,0
