"d3mIndex","Region","Zone","Year","Month","Date","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","MaizeProductionQuintal","MaizeYieldQtHa","AnyAction","IndirectConflict","DirectConflict","Protest"
1,"Amhara","North Wello",2008,1,"2008-01",13.696742578,12297.11,0,12297.11,"ETH","Ethiopia",1680005,136.6179,4.088889,91539.61,13.41,0,0,0,0
2,"Amhara","North Wello",2008,2,"2008-02",2.8824681921,12297.11,0,12297.11,"ETH","Ethiopia",1682838.75,136.848341666667,4.27901244444444,91539.61,13.41,6,0,0,0
3,"Amhara","North Wello",2008,3,"2008-03",5.9289376508,12297.11,0,12297.11,"ETH","Ethiopia",1685672.5,137.078783333333,4.46913588888889,91539.61,13.41,4,0,0,0
4,"Amhara","North Wello",2008,4,"2008-04",24.072855283,12297.11,0,12297.11,"ETH","Ethiopia",1688506.25,137.309225,4.65925933333333,91539.61,13.41,0,0,0,0
5,"Amhara","North Wello",2008,5,"2008-05",53.926369306,12297.11,0,12297.11,"ETH","Ethiopia",1691340,137.539666666667,4.84938277777778,91539.61,13.41,15,0,0,0
6,"Amhara","North Wello",2008,6,"2008-06",57.237961646,12297.11,0,12297.11,"ETH","Ethiopia",1694173.75,137.770108333333,5.03950622222222,91539.61,13.41,0,0,0,0
7,"Amhara","North Wello",2008,7,"2008-07",255.92488391,12297.11,0,12297.11,"ETH","Ethiopia",1697007.5,138.00055,5.22962966666667,91539.61,13.41,0,0,0,0
8,"Amhara","North Wello",2008,8,"2008-08",257.07498874,12297.11,0,12297.11,"ETH","Ethiopia",1699841.25,138.230991666667,5.41975311111111,91539.61,13.41,2,0,0,0
9,"Amhara","North Wello",2008,9,"2008-09",81.896502208,12297.11,0,12297.11,"ETH","Ethiopia",1702675,138.461433333333,5.60987655555556,91539.61,13.41,1,0,1,0
10,"Amhara","North Wello",2008,10,"2008-10",29.91432362,12297.11,0,12297.11,"ETH","Ethiopia",1705508.75,138.691875,5.8,91539.61,13.41,2,0,0,0
11,"Amhara","North Wello",2008,11,"2008-11",50.01358487,12297.11,0,12297.11,"ETH","Ethiopia",1708342.5,138.922316666667,5.39,91539.61,13.41,0,0,0,0
12,"Amhara","North Wello",2008,12,"2008-12",7.1145652412,12297.11,0,12297.11,"ETH","Ethiopia",1711176.25,139.152758333333,5,91539.61,13.41,0,0,0,0
13,"Amhara","North Wello",2009,1,"2009-01",9.0495165882,12297.11,0,12297.11,"ETH","Ethiopia",1714010,139.3832,3.766667,114136.75,18.87,0,0,0,0
14,"Amhara","North Wello",2009,2,"2009-02",16.158260378,12297.11,0,12297.11,"ETH","Ethiopia",1716843.75,139.613641666667,3.78148177777778,114136.75,18.87,0,0,0,0
15,"Amhara","North Wello",2009,3,"2009-03",36.220170621,12297.11,0,12297.11,"ETH","Ethiopia",1719677.5,139.844083333333,3.79629655555556,114136.75,18.87,0,0,0,0
16,"Amhara","North Wello",2009,4,"2009-04",32.2760939064,12297.11,0,12297.11,"ETH","Ethiopia",1722511.25,140.074525,3.81111133333333,114136.75,18.87,0,0,0,0
