"d3mIndex","Region","Zone","Date","Year","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","WheatRetailPrice_li","MaizeProductionQuintal","WheatProductionQuintal","MaizeYieldQtHa","WheatYieldQtHa","Month","AnyAction","IndirectConflict","DirectConflict","Protest"
1,"Afar","Afar Zone 1","2008-01",2008,14.010387009,35332.18,336.4713,34995.71,"ETH","Ethiopia",461347.2,13.182962,NA,NA,NA,NA,NA,NA,1,0,0,0,0
2,"Afar","Afar Zone 1","2008-02",2008,2.343149027875,35332.18,336.4713,34995.71,"ETH","Ethiopia",462223.066666667,13.2079898333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
3,"Afar","Afar Zone 1","2008-03",2008,3.537205040125,35332.18,336.4713,34995.71,"ETH","Ethiopia",463098.933333333,13.2330176666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
4,"Afar","Afar Zone 1","2008-04",2008,20.474360467875,35332.18,336.4713,34995.71,"ETH","Ethiopia",463974.8,13.2580455,NA,NA,NA,NA,NA,NA,4,0,0,0,0
5,"Afar","Afar Zone 1","2008-05",2008,17.01483356025,35332.18,336.4713,34995.71,"ETH","Ethiopia",464850.666666667,13.2830733333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
6,"Afar","Afar Zone 1","2008-06",2008,10.79653084425,35332.18,336.4713,34995.71,"ETH","Ethiopia",465726.533333333,13.3081011666667,NA,NA,NA,NA,NA,NA,6,0,0,0,0
7,"Afar","Afar Zone 1","2008-07",2008,71.71671906375,35332.18,336.4713,34995.71,"ETH","Ethiopia",466602.4,13.333129,NA,NA,NA,NA,NA,NA,7,0,0,0,0
8,"Afar","Afar Zone 1","2008-08",2008,90.88721192125,35332.18,336.4713,34995.71,"ETH","Ethiopia",467478.266666667,13.3581568333333,NA,NA,NA,NA,NA,NA,8,0,0,0,0
9,"Afar","Afar Zone 1","2008-09",2008,41.84391858375,35332.18,336.4713,34995.71,"ETH","Ethiopia",468354.133333333,13.3831846666667,NA,NA,NA,NA,NA,NA,9,0,0,0,0
10,"Afar","Afar Zone 1","2008-10",2008,13.08305729275,35332.18,336.4713,34995.71,"ETH","Ethiopia",469230,13.4082125,NA,NA,NA,NA,NA,NA,10,0,0,0,0
11,"Afar","Afar Zone 1","2008-11",2008,29.892672778625,35332.18,336.4713,34995.71,"ETH","Ethiopia",470105.866666667,13.4332403333333,NA,NA,NA,NA,NA,NA,11,0,0,0,0
12,"Afar","Afar Zone 1","2008-12",2008,4.177060570625,35332.18,336.4713,34995.71,"ETH","Ethiopia",470981.733333333,13.4582681666667,NA,NA,NA,NA,NA,NA,12,0,0,0,0
13,"Afar","Afar Zone 1","2009-01",2009,20.237892030125,35332.18,336.4713,34995.71,"ETH","Ethiopia",471857.6,13.483296,NA,NA,NA,NA,NA,NA,1,0,0,0,0
14,"Afar","Afar Zone 1","2009-02",2009,3.57051321625,35332.18,336.4713,34995.71,"ETH","Ethiopia",472733.466666667,13.5083238333333,NA,NA,NA,NA,NA,NA,2,0,0,0,0
15,"Afar","Afar Zone 1","2009-03",2009,11.180413376125,35332.18,336.4713,34995.71,"ETH","Ethiopia",473609.333333333,13.5333516666667,NA,NA,NA,NA,NA,NA,3,0,0,0,0
16,"Afar","Afar Zone 1","2009-04",2009,20.87326843625,35332.18,336.4713,34995.71,"ETH","Ethiopia",474485.2,13.5583795,NA,NA,NA,NA,NA,NA,4,0,0,0,0
17,"Afar","Afar Zone 1","2009-05",2009,4.3731772585,35332.18,336.4713,34995.71,"ETH","Ethiopia",475361.066666667,13.5834073333333,NA,NA,NA,NA,NA,NA,5,0,0,0,0
