"d3mIndex","woreda_label","time","variable","variable_name","woreda_wikidata","zone_wikidata","zone_label","region_wikidata","region_label","country_wikidata","country_label","precision","calendar","AFP_Polio_Cases_ratio_per_1000","source_of_file_label","data_curator_label","AFP_Polio_Deaths_ratio_per_1000","Anthrax_Cases_ratio_per_1000","Anthrax_Deaths_ratio_per_1000","Avian_Human_Influenza_Cases_ratio_per_1000","Avian_Human_Influenza_Deaths_ratio_per_1000","Cholera_AWD_Cases_ratio_per_1000","Cholera_AWD_Deaths_ratio_per_1000","Dracunculiasis_Guinea_worm_Cases_ratio_per_1000","Dracunculiasis_Guinea_worm_Deaths_ratio_per_1000","Dysentery_total_Cases_ratio_per_1000","Epidemic_Typhus_Total_Cases_ratio_per_1000","Malnutrition_total_Cases_ratio_per_1000","Maternal_Death_ratio_per_1000","Measles_Cases_ratio_per_1000","Measles_Deaths_ratio_per_1000","Meningits_total_Cases_ratio_per_1000","Neonatal_Tetanus_Cases_ratio_per_1000","Neonatal_Tetanus_Deaths_ratio_per_1000","Pandemic_Influenza_Cases_ratio_per_1000","Pandemic_Influenza_Deaths_ratio_per_1000","Rabies_Cases_ratio_per_1000","Rabies_Deaths_ratio_per_1000","Relapsing_fever_total_Cases_ratio_per_1000","SARS_Cases_ratio_per_1000","SARS_Deaths_ratio_per_1000","Small_pox_Cases_ratio_per_1000","Small_pox_Deaths_ratio_per_1000","TMSuspected_Fever_Examined_ratio_per_1000","Total_Malaria_Confirmed_and_Clinical_ratio_per_1000","Typhoid_fever_Total_cases_ratio_per_1000","Viral_hemorrhagic_fever_Cases_ratio_per_1000","Viral_hemorrhagic_fever_Deaths_ratio_per_1000","Yellow_fever_Cases_ratio_per_1000","Yellow_fever_Deaths_ratio_per_1000"
1,"Abay Chomen","2017-01","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.12418246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.831112,0.9313685,1.0348538,0,0,0,0
2,"Abay Chomen","2017-02","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.041394155,0,0.020697078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.837652,0.12418246,0.97276264,0,0,0,0
3,"Abay Chomen","2017-03","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0,0,0.06209123,0,0.10348538,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1633415,0.49672985,1.4280983,0,0,0,0
4,"Abay Chomen","2017-04","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.041394155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.831112,0.24836493,0.8692773,0,0,0,0
5,"Abay Chomen","2017-05","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.16557662,0,0.020697078,0,0,0,0,0,0.020697078,0,0,0,0,0,0,0,0,0,16.123022,0.4553357,1.0969452,0,0,0,0
6,"Abay Chomen","2017-06","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.041394155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.496647,0.49672985,1.2211276,0,0,0,0
7,"Abay Chomen","2017-07","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.10348538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.935674,1.2832189,1.0348538,0,0,0,0
8,"Abay Chomen","2017-08","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.10348538,0,0.041394155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.789718,0.41394153,0.9520656,0,0,0,0
9,"Abay Chomen","2017-09","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.06209123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.190578,1.2418247,0.7450948,0,0,0,0
10,"Abay Chomen","2017-10","P1200184","AFP/Polio Cases","Q2820216","Q5904662","Horo Gudru Welega Zone","Q202107","Oromia Region","Q115","Ethiopia",10,"Q1985727",0,"Government of Ethiopia","Information Sciences Institute",0,0,0,0,0,0,0,0,0,0.020697078,0,0.041394155,0.020697078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44002,1.1797334,1.3039159,0,0,0,0
