"d3mIndex","EVENT_DATE","TIME_PRECISION","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","INTER1","ACTOR2","ASSOC_ACTOR_2","INTER2","INTERACTION","REGION","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","GEO_PRECISION","SOURCE","SOURCE_SCALE","FATALITIES"
1,"2011-09-01",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,2,"All Africa","Regional",2
2,"2011-09-02",1,"Strategic developments","Arrests","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","ONLF: Ogaden National Liberation Front",7,17,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",0
3,"2011-09-02",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","East Harerghe","Meta","Koreme",9.315,41.643,1,"All Africa","Regional",2
4,"2011-09-04",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Shabelle","Denan","Denan",6.517,43.5,2,"All Africa","Regional",3
5,"2011-09-05",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","East Harerghe","Babile","Anod",9.215,42.397,1,"All Africa","Regional",5
6,"2011-09-05",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",5
7,"2011-09-06",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Welwel & Warder","Warder","Warder",6.974,45.341,2,"All Africa","Regional",4
8,"2011-09-07",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Degem","Toli",9.817,38.55,1,"All Africa","Regional",5
9,"2011-09-07",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",10
10,"2011-09-07",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",0
11,"2011-09-09",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Southern Nations","Gurage","Ezha","Gus",8.2,37.95,1,"All Africa","Regional",6
12,"2011-09-09",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","East Wellega","Gobu Seyo","Ari",9.15,36.95,1,"All Africa","Regional",6
13,"2011-09-09",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",7
14,"2011-09-10",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Aware","Aware",8.256,44.157,1,"ONA","National",4
15,"2011-09-10",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,1,"ONA","National",4
16,"2011-09-11",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"ONA","National",3
17,"2011-09-11",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Liben","Filtu","Hola",4.65,40.633,1,"ONA","National",4
18,"2011-09-12",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","East Harerghe","Babile","Babile",9.217,42.333,1,"ONA","National",5
